LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
90401540947579963618,PICKSY LLC,D088,Retail Dispensary,Conditional,CLARK
91774703539749161675,DEEP ROOTS ARIA ACQCO INC,RD216,Retail Dispensary,Conditional,CLARK
92531569765518823355,EUREKA NEWGEN FARMS LLC,RD290,Retail Dispensary,Conditional,EUREKA
94104154254817748080,800 STILLWELL LLC,C043,Retail Cultivation,Conditional,WASHOE
94874395420441656510,MM DEVELOPMENT COMPANY INC,C004,Retail Cultivation,Conditional,NYE
96448648950663179929,DESERT GREENS UNO LLC,C086,Retail Cultivation,Conditional,CLARK
99035327095322531330,CALIENTE DEVELOPMENT COMPANY LLC,C199,Retail Cultivation,Conditional,LINCOLN
99035327095322531331,CALIENTE DEVELOPMENT COMPANY LLC,P130,Retail Production,Conditional,LINCOLN
99035327095322531395,JASON SMITH DBA JMS LOGISTICS,T090,Retail Distributor,Conditional,CLARK
99035327095322531398,SYNERGY INVESTMENTS LLC,C023,Retail Cultivation,Conditional,CLARK
99035327095322531399,ABCNV LLC,C120,Retail Cultivation,Conditional,CLARK
99035327095322531411,NEVADA HOLISTIC MEDICINE LLC,T054,Retail Distributor,Conditional,CLARK
99035327095322531413,TGIG LLC,D069,Retail Dispensary,Conditional,CLARK
99035327095322531418,SILVER STATE WELLNESS LLC,T075,Retail Distributor,Conditional,CLARK
99035327095322531420,TRNVP098 LLC,T083,Retail Distributor,Conditional,CLARK
99035327095322531429,MM R & D LLC,RD098,Retail Dispensary,Conditional,CHURCHILL
99035327095322531432,NEVCANN LLC,C056,Retail Cultivation,Pre-Opening Inspection,CLARK
99035327095322531434,SILVER DOLLAR DISTRIBUTION LLC,T101,Retail Distributor,Conditional,Esmeralda
99035327095322531437,THE VENUE AT SOL CANNABIS LLC,CLA003,Retail Lounge,Conditional,WASHOE
99035327095322531438,LA LOUNGE LLC,CLI001,Retail Lounge,Conditional,CLARK
99035327095322531439,GLOBAL HARMONY LLC,CLA004,Retail Lounge,Conditional,CLARK
99035327095322531440,DEEP ROOTS HARVEST INC,CLA005,Retail Lounge,Conditional,CLARK
99035327095322531441,"KV GROUP , LLC",CLI002,Retail Lounge,Conditional,NYE
99035327095322531442,INYO FINE CANNABIS DISPENSARY CORP,CLA006,Retail Lounge,Conditional,CLARK
99035327095322531444,NEVADAPURE LLC,CLA007,Retail Lounge,Conditional,CLARK
99035327095322531445,DED OPS NV LLC,CLA008,Retail Lounge,Conditional,CLARK
99035327095322531448,TRYKE COMPANIES SO NV LLC,CLA011,Retail Lounge,Conditional,CLARK
99035327095322531449,HIGHER*ARCHY LLC,CLI004,Retail Lounge,Conditional,CLARK
99035327095322531450,SERENITY WELLNESS CENTER LLC,CLA012,Retail Lounge,Conditional,CLARK
99035327095322531451,CR/P LAS VEGAS LLC,CLA013,Retail Lounge,Conditional,CLARK
99035327095322531452,WELLNESS CONNECTION OF NEVADA LLC,CLA014,Retail Lounge,Conditional,CLARK
99035327095322531453,CAFECITO SW LLC,CLI005,Retail Lounge,Conditional,CLARK
99035327095322531460,THE STANDARD LOUNGE LLC,CLI006,Retail Lounge,Conditional,CLARK
99035327095322531461,SHANGHAI LOUNGE LLC,CLI007,Retail Lounge,Conditional,CLARK
99035327095322531462,MM R & D LLC,C209,Retail Cultivation,Conditional,LYON
99035327095322531463,MM R & D LLC,P139,Retail Production,Conditional,LYON
99035327095322531464,BAYOU BUDS LLC,C106,Retail Cultivation,Conditional,CLARK
99035327095322531465,HEALING GARDENS LLC,C121,Retail Cultivation,Conditional,WASHOE
99035327095322531466,SENSIBLE EDIBLES LLC,P076,Retail Production,Conditional,WASHOE
99035327095322531469,EAST BETTY NV OPCO LLC,C206,Retail Cultivation,Conditional,NYE
99035327095322531470,EAST BETTY NV OPCO LLC,P131,Retail Production,Conditional,NYE
99035327095322531472,TRUE HARMONY COMPANY LLC,P152,Retail Production,Conditional,WHITE PINE
99035327095322531473,TBL LLC,CLA015,Retail Lounge,Conditional,CLARK
99035327095322531474,DEEP ROOTS ARIA ACQCO INC,CLA016,Retail Lounge,Conditional,CLARK
99035327095322531476,NEVADA CONSUMPTION LOUNGE LLC,CLI009,Retail Lounge,Conditional,CLARK
99035327095322531477,THE LIMO JOINT LLC,CLI010,Retail Lounge,Conditional,CLARK
99035327095322531479,SUNFLOWER COMPASSIONATE COMPANY,CLI011,Retail Lounge,Conditional,CLARK
