LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
99035327095322531416,RG HIGHLAND ENTERPRISES INC,RC040,Retail Cultivation,Surrendered,CLARK
99035327095322531419,HARVEST FOUNDATION LLC THE,T082,Retail Distributor,Surrendered,CLARK
99035327095322531421,WEST118 INVESTMENTS LLC,RC190,Retail Cultivation,Surrendered,LYON
99035327095322531422,WEST118 INVESTMENTS LLC,RP125,Retail Production,Surrendered,LYON
99035327095322531425,WENDOVERA LLC,RC191,Retail Cultivation,Surrendered,ELKO
99035327095322531426,WENDOVERA LLC,RP126,Retail Production,Surrendered,ELKO
99035327095322531427,HERBAL CHOICE INC,RC112,Retail Cultivation,Surrendered,CLARK
99035327095322531430,TRYKE COMPANIES RENO LLC,RC032,Retail Cultivation,Surrendered,WASHOE
99035327095322531431,TRYKE COMPANIES RENO LLC,RP014,Retail Production,Surrendered,WASHOE
99035327095322531443,FCWC OPERATIONS LLC,CLI003,Retail Lounge,Surrendered,CLARK
99035327095322531447,INTEGRAL ASSOCIATES LLC,CLA010,Retail Lounge,Surrendered,CLARK
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
