LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
21781007495292162943,FOCUS DISTRIBUTION LLC,T096,Retail Distributor,Active,CLARK
22897076676795690110,AGUA STREET LLC,C157,Retail Cultivation,Active,CLARK
23003643426806888206,DED OPS NV LLC,D010,Retail Dispensary,Active,CLARK
23366229281756137118,"Production Series, a series of JUST QUALITY LLC",P085,Retail Production,Active,CLARK
24170469501580671157,PURE TONIC CONCENTRATES LLC,RD457,Retail Dispensary,Active,STOREY
24344359150856320396,INYO FINE CANNABIS DISPENSARY CORP,D071,Retail Dispensary,Active,CLARK
24665787413575467233,ZION GARDENS LLC,C173,Retail Cultivation,Active,CLARK
24840464563491081056,SOUTHERN NEVADA GROWERS LLC,T076,Retail Distributor,Active,CLARK
25048214491375101482,NEVADA HOLISTIC MEDICINE LLC,C046,Retail Cultivation,Active,CLARK
25343951714103210330,DEEP ROOTS HARVEST INC.,RD397,Retail Dispensary,Active,CLARK
25729455103203031356,DESERT AIRE WELLNESS LLC,D169,Retail Dispensary,Active,CLARK
26849340152215972256,ESSENCE TROPICANA LLC,RD318,Retail Dispensary,Active,WASHOE
27764211258972498624,CLEAR RIVER LLC,RD230,Retail Dispensary,Active,CLARK
27870466259713738680,FIDELIS HOLDINGS LLC,C132,Retail Cultivation,Active,CLARK
28332017443877189253,TGNV LLC,P016,Retail Production,Active,WASHOE
28476312257204037070,BLUE STAR PARTNERS LLC,D105,Retail Dispensary,Active,CLARK
28729875179355972226,NEVADA GROUP WELLNESS LLC,C160,Retail Cultivation,Active,CLARK
28778114311315160635,DEEP ROOTS HARVEST INC.,D200,Retail Dispensary,Active,ELKO
29097337938755289535,MBNV DISTRIBUTION T050 LLC,T050,Retail Distributor,Active,CLARK
29101803441227387589,NEVADA NATURAL MEDICINES LLC,C047,Retail Cultivation,Non-Operational,NYE
29537654627576657070,CLOVER CREEK ORGANICS L.L.C.,P142,Retail Production,Active,LINCOLN
29717689414536890016,TRYKE COMPANIES SO NV LLC,C031,Retail Cultivation,Active,CLARK
30040918290309210151,FNM HOLDINGS LLC,C105,Retail Cultivation,Active,WASHOE
30364928071399411961,HELPING HANDS WELLNESS CENTER INC,C147,Retail Cultivation,Active,CLARK
30384137740970358778,COMMERCE PARK MEDICAL RD264 LLC,RD264,Retail Dispensary,Active,CLARK
30879415424242137005,RANGE BRANDS LLC,P040,Retail Production,Active,CLARK
31181717801815759371,NLV MAYFLOWER HOLDINGS LLC,C145,Retail Cultivation,Active,CLARK
31882641465304506399,TRYKE COMPANIES RENO LLC,D026,Retail Dispensary,Active,WASHOE
31890565875531526199,PREMIUM PRODUCE LLC,P038,Retail Production,Active,CLARK
31897842738001059708,800 STILLWELL LLC,C089,Retail Cultivation,Active,WASHOE
32704290606712932888,YMY VENTURES LLC,P042,Retail Production,Active,CLARK
33067718465021979566,DEEP ROOTS HARVEST INC.,RD399,Retail Dispensary,Active,CLARK
33109597595341895101,DEP OPS NV LLC,P009,Retail Production,Active,CLARK
33333930069916107890,CLARK NMSD LLC,D186,Retail Dispensary,Active,CLARK
33560346467246600957,SUNDAE CO LLC,C188,Retail Cultivation,Active,CARSON CITY
33612007165240494267,NLVG LLC,C155,Retail Cultivation,Non-Operational,CLARK
33757554276109168008,THC PRODUCTION LLC,P017,Retail Production,Active,CLARK
34243875109059614286,WSCC INC,D111,Retail Dispensary,Active,WASHOE
34299986630191194451,ESSENCE HENDERSON LLC,RD348,Retail Dispensary,Active,CARSON CITY
34497079237706414213,NYE NATURAL MEDICINAL SOLUTIONS LLC,P107,Retail Production,Active,NYE
34561668875912663393,HEALTHCARE OPTIONS FOR PATIENTS ENTERPRISES LLC,P064,Retail Production,Active,CLARK
34770158846525926783,ACRES MEDICAL LLC,P011,Retail Production,Active,CLARK
34783954003475226897,LETTUCETEST LLC,L006,Retail Laboratory,Active,CLARK
35051929286907100905,NEW DIVISION LLC,C055,Retail Cultivation,Active,CLARK
35113918658385474933,3480 HACIENDA PARTNERS LLC,P035,Retail Production,Active,CLARK
35921128494419615677,LUCID MANAGEMENT LLC,RD456,Retail Dispensary,Active,HUMBOLDT
36011146770937512646,THOMPSON FARM ONE LLC,C156,Retail Cultivation,Active,CLARK
36111143425969416428,EUPHORIA WELLNESS LLC,P089,Retail Production,Active,CLARK
36506856230444373665,TWELVE TWELVE LLC,C119,Retail Cultivation,Active,CLARK
36812277747948686823,SOLACE ENTERPRISES LLC,C076,Retail Cultivation,Active,CLARK
36845781847213708344,MATRIX NV LLC,P095,Retail Production,Active,CLARK
36853260737760020901,POLARIS WELLNESS CENTER LLC,P114,Retail Production,Active,CLARK
36940245239064189256,WELLNESS & CAREGIVERS OF NEVADA NLV LLC,P049,Retail Production,Active,CLARK
37194813876768896252,NYE NATURAL MEDICINAL SOLUTIONS LLC,T065,Retail Distributor,Active,NYE
38120054593314237201,LONE MOUNTAIN PARTNERS LLC,P077,Retail Production,Active,CLARK
38329603677293790867,FSWFL LLC,C138,Retail Cultivation,Non-Operational,CLARK
38420410922892257960,GREEN LIFE PRODUCTIONS LLC,C146,Retail Cultivation,Active,NYE
40050104995800309174,CHEYENNE MEDICAL SAMMY DAVIS RD263 LLC,RD263,Retail Dispensary,Active,CLARK
40056792267279269644,GREEN LIFE PRODUCTIONS LLC,T035,Retail Distributor,Active,NYE
41146840808916745728,CCLV PRODUCTION LLC,P008,Retail Production,Active,CLARK
41491863218758323982,TRNVD670 LLC,RD670,Retail Dispensary,Active,HUMBOLDT
41608878118736307569,DEEP ROOTS ARIA ACQCO INC,RD218,Retail Dispensary,Active,CLARK
42779873098977009443,PRODUCTION AP LLC,P018,Retail Production,Active,CLARK
42801984540428281831,WELLNESS & CAREGIVERS OF NEVADA II LLC,C118,Retail Cultivation,Active,CLARK
42836696676159179870,CIRCLE S FARMS LLC,C148,Retail Cultivation,Active,CLARK
42964757214640794936,CLARK NMSD LLC,D187,Retail Dispensary,Active,CLARK
43145225960370597103,NLVG LLC,P082,Retail Production,Non-Operational,CLARK
43388435085849646312,DEEP ROOTS ARIA ACQCO INC,RD221,Retail Dispensary,Active,NYE
43490264137335866974,ESSENCE TROPICANA LLC,RD319,Retail Dispensary,Active,CLARK
43755076185517777908,CONGERIEM 3 LLC,RD594,Retail Dispensary,Active,ESMERALDA
