name,dba,slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state,multiple_locations
Aeterna,Orange County Cannabis Co.,aeterna,other,https://aeternacannabis.com/,,1308 Dolsontown Rd. Suite 3,Middletown,NY,10940,US,,,,,OCM-MICR-24-000139,true
Aeterna,Grounded,aeterna,other,https://aeternacannabis.com/,,3665 Albany Post Rd,Poughkeepsie,NY,12601,US,,,,,OCM-MICR-24-000139,true
Aeterna,County Road Cannabis,aeterna,other,https://aeternacannabis.com/,,1326 County Route 12,New Hampton,NY,10958,US,,,,,OCM-MICR-24-000139,true
Aeterna,Amped Dispensary,aeterna,other,https://aeternacannabis.com/,,8520 Transit Rd,Buffalo,NY,14221,US,,,,,OCM-MICR-24-000139,true
Aeterna,Herbalwai,aeterna,other,https://aeternacannabis.com/,,6970 Transit Road,Amherst,NY,14221,US,,,,,OCM-MICR-24-000139,true
Aeterna,Canna Planet - Newburgh,aeterna,other,https://aeternacannabis.com/,,217 S Plank Rd,Newburgh,NY,12550,US,,,,,OCM-MICR-24-000139,true
Aeterna,Green Leaf,aeterna,other,https://aeternacannabis.com/,,1400 Route 300,Newburgh,NY,12550,US,,,,,OCM-MICR-24-000139,true
Aeterna,Stellar Cannabis Dispensary,aeterna,other,https://aeternacannabis.com/,,5440 Route 9W,Newburgh,NY,12550,US,,,,,OCM-MICR-24-000139,true
Aeterna,Leaf Plug,aeterna,other,https://aeternacannabis.com/,,3341 Sheridan Drive,Amherst,NY,14226,US,,,,,OCM-MICR-24-000139,true
Aeterna,Canna Planet - Wappingers Falls,aeterna,other,https://aeternacannabis.com/,,1444 NY-9D,Wappingers Falls,NY,12590,US,,,,,OCM-MICR-24-000139,true
Aeterna,Fishkill Cannabis,aeterna,other,https://aeternacannabis.com/,,814 NY-52,Fishkill,NY,12524,US,,,,,OCM-MICR-24-000139,true
Aeterna,Gratitude Buds,aeterna,other,https://aeternacannabis.com/,,814 NY-52,Fishkill,NY,12524,US,,,,,OCM-MICR-24-000139,true
Aeterna,Satisfied Mind,aeterna,other,https://aeternacannabis.com/,,31 Webster St.,North Tonawanda,NY,14120,US,,,,,OCM-MICR-24-000139,true
Aeterna,Farmers Choice Dispensary,aeterna,other,https://aeternacannabis.com/,,18 Westage Dr. Suite 7,Fishkill,NY,12524,US,,,,,OCM-MICR-24-000139,true
Aeterna,Valley Greens,aeterna,other,https://aeternacannabis.com/,,939 Central Ave,Peekskill,NY,10566,US,,,,,OCM-MICR-24-000139,true
Aeterna,Cloud 914,aeterna,other,https://aeternacannabis.com/,,807 Washington St,Peekskill,NY,10566,US,,,,,OCM-MICR-24-000139,true
Aeterna,Rockland Cannabis Dispensary,aeterna,other,https://aeternacannabis.com/,,296 Route 59,Tallman,NY,10982,US,,,,,OCM-MICR-24-000139,true
Aeterna,Treehouse Dispensary,aeterna,other,https://aeternacannabis.com/,,28 Route 59,Nyack,NY,10960,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Herb Cave,aeterna,other,https://aeternacannabis.com/,,519 State Rte 3,Plattsburgh,NY,12901,US,,,,,OCM-MICR-24-000139,true
Aeterna,Bob Natural Cannabis Dispensary,aeterna,other,https://aeternacannabis.com/,,1067 E. 2nd Street,Jamestown,NY,14701,US,,,,,OCM-MICR-24-000139,true
Aeterna,Cannabis Realm,aeterna,other,https://aeternacannabis.com/,,475 Central Ave,White Plains,NY,10606,US,,,,,OCM-MICR-24-000139,true
Aeterna,Starlife Dispensary,aeterna,other,https://aeternacannabis.com/,,1 Hall Ave,White Plains,NY,10603,US,,,,,OCM-MICR-24-000139,true
Aeterna,Leafology,aeterna,other,https://aeternacannabis.com/,,244 Main St Suite 1,White Plains,NY,10601,US,,,,,OCM-MICR-24-000139,true
Aeterna,Etain - White Plains,aeterna,other,https://aeternacannabis.com/,,75 Mamaroneck Ave,White Plains,NY,10601,US,,,,,OCM-MICR-24-000139,true
Aeterna,Budr Cannabis,aeterna,other,https://aeternacannabis.com/,,887 Yonkers Ave,Yonkers,NY,10704,US,,,,,OCM-MICR-24-000139,true
Aeterna,Frass Box,aeterna,other,https://aeternacannabis.com/,,3633 Kingsbridge Ave,Bronx,NY,10463,US,,,,,OCM-MICR-24-000139,true
Aeterna,Sesh NYC,aeterna,other,https://aeternacannabis.com/,,4219 Webster Avenue,Bronx,NY,10470,US,,,,,OCM-MICR-24-000139,true
Aeterna,Herbwell (Bronx),aeterna,other,https://aeternacannabis.com/,,372 E Fordham Rd,Bronx,NY,10458,US,,,,,OCM-MICR-24-000139,true
Aeterna,Guardian Wellness,aeterna,other,https://aeternacannabis.com/,,2500 Arthur Ave,Bronx,NY,10458,US,,,,,OCM-MICR-24-000139,true
Aeterna,Freshly Baked,aeterna,other,https://aeternacannabis.com/,,2375 Arthur Ave.,Bronx,NY,10458,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Flowery (Bronx),aeterna,other,https://aeternacannabis.com/,,3551 Boston Rd,Bronx,NY,10469,US,,,,,OCM-MICR-24-000139,true
Aeterna,Hush Dispensary,aeterna,other,https://aeternacannabis.com/,,2460 Williams Bridge Rd,Bronx,NY,10469,US,,,,,OCM-MICR-24-000139,true
Aeterna,Con Bud - Bronx,aeterna,other,https://aeternacannabis.com/,,2412 3rd Avenue,Bronx,NY,10454,US,,,,,OCM-MICR-24-000139,true
Aeterna,Tetra East Harlem Dispensary,aeterna,other,https://aeternacannabis.com/,,2152 3rd Ave,New York,NY,10035,US,,,,,OCM-MICR-24-000139,true
Aeterna,Flower Power,aeterna,other,https://aeternacannabis.com/,,22 W 66th St,New York,NY,10023,US,,,,,OCM-MICR-24-000139,true
Aeterna,Flower Power (Queens),aeterna,other,https://aeternacannabis.com/,,22 West 66th Street,New York,NY,10023,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Herbal Care,aeterna,other,https://aeternacannabis.com/,,1410 Lexington Ave,New York,NY,10128,US,,,,,OCM-MICR-24-000139,true
Aeterna,CannaDreams,aeterna,other,https://aeternacannabis.com/,,862 9th Ave,New York,NY,10019,US,,,,,OCM-MICR-24-000139,true
Aeterna,Nucleus Dispensary,aeterna,other,https://aeternacannabis.com/,,1819 2nd Ave,New York,NY,10128,US,,,,,OCM-MICR-24-000139,true
Aeterna,Carnegie Hill Cannabis Co.,aeterna,other,https://aeternacannabis.com/,,1720 Second Ave,New York,NY,10128,US,,,,,OCM-MICR-24-000139,true
Aeterna,Elevation HQ,aeterna,other,https://aeternacannabis.com/,,701 8th Ave.,New York,NY,10036,US,,,,,OCM-MICR-24-000139,true
Aeterna,Charlie Fox,aeterna,other,https://aeternacannabis.com/,,719 7th Ave,New York,NY,10036,US,,,,,OCM-MICR-24-000139,true
