Data,Date,Count
Expired Per Month,Nov 2021,801
Expired Per Month,Dec 2021,739
Expired Per Month,Jan 2022,853
Expired Per Month,Feb 2022,715
Expired Per Month,Mar 2022,691
Expired Per Month,Apr 2022,448
Expired Per Month,May 2022,477
Expired Per Month,Jun 2022,582
Expired Per Month,Jul 2022,1141
Expired Per Month,Aug 2022,1207
Expired Per Month,Sep 2022,1181
Expired Per Month,Oct 2022,1071
Expired Per Month,Nov 2022,963
Expired Per Month,Dec 2022,846
Expired Per Month,Jan 2023,1045
Expired Per Month,Feb 2023,1161
Expired Per Month,Mar 2023,1178
Expired Per Month,Apr 2023,1181
Expired Per Month,May 2023,1118
Expired Per Month,Jun 2023,1046
Expired Per Month,Jul 2023,2302
Expired Per Month,Aug 2023,1486
Expired Per Month,Sep 2023,1374
Expired Per Month,Oct 2023,1596
Expired Per Month,Nov 2023,744
Expired Per Month,Dec 2023,778
Expired Per Month,Jan 2024,857
Expired Per Month,Feb 2024,873
Expired Per Month,Mar 2024,925
Expired Per Month,Apr 2024,851
Expired Per Month,May 2024,1584
Expired Per Month,Jun 2024,1518
Expired Per Month,Jul 2024,1699
Expired Per Month,Aug 2024,1805
Expired Per Month,Sep 2024,1712
Expired Per Month,Oct 2024,2008
Expired Per Month,Nov 2024,1544
Expired Per Month,Dec 2024,1302
Expired Per Month,Jan 2025,1568
Expired Per Month,Feb 2025,1489
Expired Per Month,Mar 2025,1619
Expired Per Month,Apr 2025,1826
Expired Per Month,May 2025,1772
Expired Per Month,Jun 2025,1772
Expired Per Month,Jul 2025,1902
Expired Per Month,Aug 2025,2397
Expired Per Month,Sep 2025,2212
Expired Per Month,Oct 2025,2610
Expired Per Month,Nov 2025,2216
Expired Per Month,Dec 2025,2028
Expired Per Month,Jan 2026,2684
Expired Per Month,Feb 2026,2626
Expired Per Month,Mar 2026,3772
New Patients Per Month,Mar 2020,1485
New Patients Per Month,Apr 2020,1543
New Patients Per Month,May 2020,1249
New Patients Per Month,Jun 2020,1875
New Patients Per Month,Jul 2020,2199
New Patients Per Month,Aug 2020,1994
New Patients Per Month,Sep 2020,2555
New Patients Per Month,Oct 2020,2946
New Patients Per Month,Nov 2020,2691
New Patients Per Month,Dec 2020,3201
New Patients Per Month,Jan 2021,3372
New Patients Per Month,Feb 2021,3298
New Patients Per Month,Mar 2021,3140
New Patients Per Month,Apr 2021,3720
New Patients Per Month,May 2021,2869
