Detail,Count
Beaver,230
Box Elder,2300
Cache,3807
Carbon,984
Daggett,25
Davis,12258
Duchesne,450
Emery,332
Garfield,151
Grand,196
Iron,2048
Juab,297
Kane,175
Millard,244
Morgan,292
Other,329
Piute,26
Rich,75
Salt Lake,46799
San Juan,53
Sanpete,645
Sevier,445
Summit,1713
Tooele,2345
Uintah,562
Utah,17032
Wasatch,1055
Washington,5655
Wayne,37
Weber,11533
