Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
Ayr Wellness,2536 US-22,Union,NJ,07083,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
BLOC,1075 Easton Ave,Somerset,NJ,08873,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
BLOC,501 US-9,Waretown,NJ,08758,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
BLOC,1761 N Olden Ave,Ewing Township,NJ,08638,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Breakwater,2 Corporate Dr,East Windsor,NJ,08512,,1,,,,Medicinal cannabis
Breakwater,154 Westfield Ave W,Roselle Park,NJ,07204,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
"""Brute's Roots""",6206 Black Horse Pike,Egg Harbor Township,NJ,08234,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
"""Brute's Roots-Paulsboro""",2001 S Delaware St,Paulsboro,NJ,08066,1,1,,,,Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)
Curaleaf,191 US-130,Bordentown,NJ,08505,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Curaleaf,4237 US-130,Edgewater Park,NJ,08010,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Curaleaf,640 Creek Rd,Bellmawr,NJ,08031,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Design 710,112 Park Pl,Atlantic City,NJ,08401,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Downtown FLWR,141 Newark Ave,Jersey City,NJ,07302,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Eastern Green,78 NJ-73,Voorhees Township,NJ,08043,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Garfield Gardens Dispensary,517 River Dr,Garfield,NJ,07026,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Holistic Solutions,451 White Horse Pike,Atco,NJ,08004,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
HoneyGrove,1337 Blackwood-Clementon Rd,Clementon,NJ,08021,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Illicit Gardens Dispensary Secaucus,30 Wood Ave,Secaucus,NJ,07094,,1,,,,Medicinal cannabis
Monmouth Wellness & Healing (Formerly NJ Leaf),546 Park Ave,Freehold,NJ,07728,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Monmouth Wellness and Healing,359 NJ-35,Cliffwood,NJ,07721,,1,,,,Medicinal cannabis
Monteverde NJ,45 Bridge Ave,Red Bank,NJ,07701,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
MPX NJ,153 S New York Ave,Atlantic City,NJ,08401,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
MPX NJ,5035 Central Hwy,Pennsauken Township,NJ,08109,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
MPX NJ,581 Berlin - Cross Keys Rd,Sicklerville,NJ,08081,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
NJ Leaf North Brunswick (Formerly Garden State Botanicals),1345 US-1,North Brunswick Township,NJ,08902,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Restore NJ,300 William Dalton Dr,Glassboro,NJ,08028,,1,,,,Medicinal cannabis
RIPT,220 Broadway,Jersey City,NJ,07306,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
RISE,145 Rte 4,Paramus,NJ,07652,,1,1,,,Medicinal cannabis |\nOffers delivery
RISE,196 3rd Ave 3 c,Paterson,NJ,07514,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,07003,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Roots Dispensary,4402 US-130,Willingboro,NJ,08046,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Sanctuary Cannabis,2581 US-22,Scotch Plains,NJ,07076,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
SilverLeaf Wellness,1743 NJ-27,Somerset,NJ,08873,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Sweet Spot,903 White Horse Rd,Voorhees Township,NJ,08043,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Botanist,2090 N Black Horse Pike,Williamstown,NJ,08094,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Botanist,35 W Crescent Blvd,Collingswood,NJ,08108,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Botanist,100 Century Dr,Egg Harbor Township,NJ,08234,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Cannabist,4476 Black Horse Pike Suite 2,Mays Landing,NJ,08330,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Cannabist,1062 N Delsea Dr,Vineland,NJ,08360,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Cannabist,1692 Clements Bridge Rd,Deptford,NJ,08096,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
The Station,86 River St,Hoboken,NJ,07030,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Theo A. Cannabis,3059 NJ-27 unit 104,Franklin Park,NJ,08823,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Theory Wellness,461 New York Ave,Trenton,NJ,08638,,1,,,,Medicinal cannabis
Toke Lane - Trenton,226 S Broad St,Trenton,NJ,08608,1,1,,,,Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)
URB’N Dispensary,378 South St,Newark,NJ,07105,1,1,1,,1,Medicinal cannabis |\nRecreational cannabis |\nExpan…ec) |\nCannabis Consumption Area |\nOffers delivery
Valley Wellness,407 US-202,Raritan,NJ,08869,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Zen Leaf,"NJ-66, Neptune Township, NJ, USA",,NJ,,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Zen Leaf,117 Spring St,Elizabeth,NJ,07201,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Zen Leaf,3256 Brunswick Pike,Lawrence Township,NJ,08648,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
