Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
Doobiez,1612 Union Valley Rd,West Milford,NJ,07480,1,,1,,,Recreational cannabis |\nOffers delivery
Earth & Ivy,355 George St,New Brunswick,NJ,08901,1,,1,,,Recreational cannabis |\nOffers delivery
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,08733,1,,1,,,Recreational cannabis |\nOffers delivery
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,07040,1,,,1,,Microbusiness |\nRecreational cannabis
Elevated Herb,1846 NJ-23,West Milford,NJ,07480,1,,,,,Recreational cannabis
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,07003,1,,1,,,Recreational cannabis |\nOffers delivery
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,08053,1,,,,,Recreational cannabis
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,08401,1,,,,,Recreational cannabis
"""Evergreen Nature's Remedy""",1242 NJ-23,Butler,NJ,07405,1,,,,,Recreational cannabis
Evolve Cannabis,186 US-130,Bordentown,NJ,08505,1,,1,,,Recreational cannabis |\nOffers delivery
Far & Dotter,348 Lakehurst Rd,Browns Mills,NJ,08015,1,,,,,Recreational cannabis
Feels of Green,474 US-206,Newton,NJ,07860,1,,,1,,Microbusiness |\nRecreational cannabis
Fire and Oak,5 Washington St,Mt Holly,NJ,08060,1,,,,,Recreational cannabis
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,08012,1,,,,,Recreational cannabis
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,07111,1,,,,,Recreational cannabis
Fresh Dispensary Eatontown,315 NJ-35 #5,Eatontown,NJ,07724,1,,,,,Recreational cannabis
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,07202,1,,,,,Recreational cannabis
G2 Dispensary,350 US-46,Rockaway,NJ,07866,1,,,,,Recreational cannabis
Garden Greenz,190 Newark Ave,Jersey City,NJ,07302,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Garden State Natural Green,4597 NJ-27,Kingston,NJ,08528,1,,,,,Recreational cannabis
Gas & Grass Cannabis Recreational Dispensary,778 NJ-15 N,Lake Hopatcong,NJ,07849,1,,,,,Recreational cannabis
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,08107,1,,,1,,Microbusiness |\nRecreational cannabis
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,07306,1,,1,,,Recreational cannabis |\nOffers delivery
Good Karma Dispensary,579 US-22,North Plainfield,NJ,07060,1,,,,,Recreational cannabis
Got Your Six Dispensary of New Jersey,4437 NJ-27,Princeton,NJ,08540,1,,,1,,Microbusiness |\nRecreational cannabis
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,07206,1,,,1,,Microbusiness |\nRecreational cannabis
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,08873,1,,,,,Recreational cannabis
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,08077,1,,1,,,Recreational cannabis |\nOffers delivery
Green Oasis Dispensary,632 White Horse Pike,Atco,NJ,08004,1,,,1,,Microbusiness |\nRecreational cannabis
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,08232,1,,,1,,Microbusiness |\nRecreational cannabis
Greenlight Apothecary,15 Bowling Green Pkwy,Lake Hopatcong,NJ,07849,1,,,,,Recreational cannabis
Greenstop Dispensary,516 Tonnelle Ave,Jersey City,NJ,07307,1,,,,,Recreational cannabis
GW Leaf Dispensary,2143 Rte 4,Fort Lee,NJ,07024,1,,,,,Recreational cannabis
Gynsyng,14 S Center St,Merchantville,NJ,08109,1,,1,,1,Recreational cannabis |\nCannabis Consumption Area |\nOffers delivery
Hackettstown Dispensary,321 Mountain Ave,Hackettstown,NJ,07840,1,,,1,,Microbusiness |\nRecreational cannabis
Hamm & Chaz Cannabis Dispensary,747 West Side Ave,Jersey City,NJ,07306,1,,,,,Recreational cannabis
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,08083,1,,,1,,Microbusiness |\nRecreational cannabis
Hashery,409 NJ-17,Hackensack,NJ,07601,1,,1,,,Recreational cannabis |\nOffers delivery
Hashstoria NJ,799 Broad St,Newark,NJ,07102,1,,,,,Recreational cannabis
Hello High,7685 Black Horse Pike,Hammonton,NJ,08037,1,,1,,,Recreational cannabis |\nOffers delivery
Herb Haus,300 Washington Ave,Carlstadt,NJ,07072,1,,,,,Recreational cannabis
"""Herb's Premium Dispensary""",757 Franklin Blvd,Somerset,NJ,08873,1,,,,,Recreational cannabis
Herbalicity,246 Raritan Ave,Highland Park,NJ,08904,1,,,,,Recreational cannabis
High End Gardens,25 Brookside Ave,Sussex,NJ,07461,1,,,,,Recreational cannabis
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,08733,1,,,,,Recreational cannabis
High Profile of Somerdale Dispensary,4 N White Horse Pike,Somerdale,NJ,08083,1,,,,,Recreational cannabis
High Rollers Dispensary,120 S Indiana Ave,Atlantic City,NJ,08401,1,,1,,1,Recreational cannabis |\nOffers delivery |\nCannabis Consumption Area
High Street Dispensary,811 High St,Hackettstown,NJ,07840,1,,1,,,Recreational cannabis |\nOffers delivery
Highway 90,90 Old Marlton Pike,Evesham,NJ,08053,1,,,,,Recreational cannabis
Holistic Re-Leaf,321 Mt Hope Ave,Rockaway,NJ,07866,1,,,,,Recreational cannabis
Honey Buzz Farms,1724 Atlantic Ave,Atlantic City,NJ,08401,1,,1,,,Recreational cannabis |\nOffers delivery
HudHaus,9001 River Rd,North Bergen,NJ,07047,1,,1,,,Recreational cannabis |\nOffers delivery
Hudsonica Inc.,1427 Grand St,Hoboken,NJ,07030,1,,,,,Recreational cannabis
HZY Goods,19 Prospect St,East Orange,NJ,07017,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Indigo,302 Crescent Blvd,Brooklawn,NJ,08030,1,,1,,,Recreational cannabis |\nOffers delivery
INSA Coastline Dispensary,1580 US-9,Cape May Court House,NJ,08210,1,,,,,Recreational cannabis
Island Vibez,18 Roosevelt Ave,Plainfield,NJ,07060,1,,,1,,Microbusiness |\nRecreational cannabis
J & J Cannabis Dispensary,3055 NJ-23 Unit A,Oak Ridge,NJ,07438,1,,1,,,Recreational cannabis |\nOffers delivery
Jersey Dispensary,638 Communipaw Ave,Jersey City,NJ,07304,1,,,1,,Microbusiness |\nRecreational cannabis
Jersey Leaf,554 West Side Ave,Jersey City,NJ,07304,1,,,1,,Microbusiness |\nRecreational cannabis
Jersey Meds,7 NJ-31,Pennington,NJ,08534,1,,1,,,Recreational cannabis |\nOffers delivery
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,07480,1,,1,,,Recreational cannabis |\nOffers delivery
"""Jester's Joint""",70 Easton Ave,New Brunswick,NJ,08901,1,,,,,Recreational cannabis
Joy Leaf,711 E 1st Ave,Roselle Park,NJ,07204,1,,1,,,Recreational cannabis |\nOffers delivery
Juniper Lane,2305 Atlantic Ave,Atlantic City,NJ,08401,1,,,,,Recreational cannabis
Kind Kush,279 US-46,Rockaway,NJ,07866,1,,1,,,Recreational cannabis |\nOffers delivery
