License_Number,CE_ID,Business_Name,License_Type,License_Status,County,State,Source_File
71702389611437559364,D017,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,Retail Dispensary,Active,WASHOE,NV,active-license-list.csv
72379193611776921142,RD590,LONE MOUNTAIN PARTNERS LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
75203668337906025844,D108,CLEAR RIVER LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
76170147149504770817,RD215,MM DEVELOPMENT COMPANY INC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
76816813303097791333,D004,GLOBAL HARMONY LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
77505483208802721121,D027,COMMERCE PARK MEDICAL LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
77903356343424586888,D068,NULEAF INCLINE DISPENSARY LLC,Retail Dispensary,Active,WASHOE,NV,active-license-list.csv
78183023264727429508,D087,CLEAR RIVER LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
81154974231636348055,D056,GREENLEAF WELLNESS INC,Retail Dispensary,Active,WASHOE,NV,active-license-list.csv
83760475147127946601,D132,WAVESEER OF LAS VEGAS LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
84716656554039635124,D161,EUPHORIA WELLNESS LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
85577035657658637557,RD265,CHEYENNE MEDICAL RENO RD265 LLC,Retail Dispensary,Active,WASHOE,NV,active-license-list.csv
88066209745143423581,RD219,HIGH SIERRA HOLISTICS LLC,Retail Dispensary,Active,WASHOE,NV,active-license-list.csv
89468956878290453653,RD398,DEEP ROOTS HARVEST INC.,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
93968461789695028039,D009,NEVADA WELLNESS CENTER LLC,Retail Dispensary,Active,CLARK,NV,active-license-list.csv
96822610504919713285,D048,TGIG LLC,Retail Dispensary,Active,NYE,NV,active-license-list.csv
97028286992913304766,D099,GTI NEVADA LLC,Retail Dispensary,Active,CARSON CITY,NV,active-license-list.csv
99035327095322531323,D208,ACRES DISPENSARY LLC,Retail Dispensary,Active,WHITE PINE,NV,active-license-list.csv
