Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
0018y000004XdKbAAK,00085332,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000B3C8HAAV&facilityId=0018y000004XdKbAAK,6/12/2024,Establishment,0000156ESTDP70697204,Closed (Complete)
0018y000004XdKbAAK,00094921,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000O5PsnAAF&facilityId=0018y000004XdKbAAK,1/10/2025,,,Closed (Complete)
0018y000004XdKbAAK,00141385,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000whwgtAAA&facilityId=0018y000004XdKbAAK,9/12/2025,Establishment,0000156ESTDP70697204,Closed (Complete)
0018y000004XdKbAAK,00148426,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000017nLWcAAM&facilityId=0018y000004XdKbAAK,11/7/2025,Establishment,0000156ESTDP70697204,Closed (Complete)
