name,dba,slug,dba_slug,type,is_breeder,is_bank,is_cultivator,is_dispensary,is_academic,url,is_bad_url,reason_code,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,is_licensed,schema_complete,last_verified,verified_by,submitted_at,submitted_by,evidence_url
Afropips Seeds,,afropips-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afterthought Autos,,afterthought-autos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Hemp Company,,alabama-hemp-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Seed Company,,alamo-seed-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Cannabis Cache,,alaska-cannabis-cache,,,,,,,,http://www.alaskacannabiscache.com,false,,,,,,,,,,,,,,,,,,,,
Alastorlabs,,alastorlabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemutant,,alchemutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemy Genetics,,alchemy-genetics,,,,,,,,http://www.alchemygenetics.com,false,,,,,,,,,,,,,,,,,,,,
Alex Acres,,alex-acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Beck,,alex-beck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfemco,,alfemco,,,,,,,,http://alfemco.com,false,,,,,,,,,,,,,,,,,,,,
Alien Genetics,,alien-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlienLabs,,alienlabs,,,,,,,,https://www.twentysixtynine.com,false,,,,,,,,,,,,,,,,,,,,
Alienblood Genetix,,alienblood-genetix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alight For Health / Alight Farms,,alight-for-health-alight-farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-in Medicinal Seeds,,all-in-medicinal-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Star Genetics,,all-star-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All We Know Is Dank,,all-we-know-is-dank,,,,,,,,http://allweknowisdank.com,false,,,,,,,,,,,,,,,,,,,,
AlleyCat Genetics,,alleycat-genetics,,,,,,,,http://alleycatgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Almighty Farms Genetics,,almighty-farms-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almighty Seeds,,almighty-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloha Embassy,,aloha-embassy,,,,,,,,https://alohaembassy.com,false,,,,,,,,,,,,,,,,,,,,
Aloha Island Genetics,,aloha-island-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaca Bowl Ranch Seeds,,alpaca-bowl-ranch-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Genetics,,alpha-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphakronik Genes,,alphakronik-genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlpinStash,,alpinstash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpindica Seeds,,alpindica-seeds,,,,,,,,http://www.alpindica.at,false,,,,,,,,,,,,,,,,,,,,
Alpine-Seeds,,alpine-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude Genetics,,altitude-genetics,,,,,,,,https://altitudegenetics.square.site,false,,,,,,,,,,,,,,,,,,,,
Altitude Ranch Genetics,,altitude-ranch-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadeus Genetics,,amadeus-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranta Seeds,,amaranta-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambitious Seeds,,ambitious-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia,,ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amft13beans,,amft13beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amish Warrior Seeds,,amish-warrior-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Finest Seeds,,amsterdam-finest-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Genetics,,amsterdam-genetics,,,,,,,,https://www.amsterdamgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Ananda Seeds,,ananda-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andalucía Seeds,,andalucía-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andina Seeds,,andina-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromeda Strains,,andromeda-strains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anesia Seeds,,anesia-seeds,,,,,,,,https://anesiaseeds.com,false,,,,,,,,,,,,,,,,,,,,
Anjaneya Mountain Medicine,,anjaneya-mountain-medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annabelle's Garden,,annabelles-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annibale Genetics,,annibale-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annunaki Genetics,,annunaki-genetics,,,,,,,,https://annunakigenetics.com,false,,,,,,,,,,,,,,,,,,,,
Anomaly Seeds,,anomaly-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenna Seeds,,antenna-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Renee Genetics,,anthony-renee-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthos Seeds,,anthos-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntiStressCrew,,antistresscrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ape Genetics,,ape-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ApeOrigin,,apeorigin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex Seeds,,apex-seeds,,,,,,,,https://www.apexseeds.com,false,,,,,,,,,,,,,,,,,,,,
Apex Solventless,,apex-solventless,,,,,,,,http://apexsolventless.com,false,,,,,,,,,,,,,,,,,,,,
Apothecary Genetics,,apothecary-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apotix,,apotix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian Genetics,,appalachian-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqualung Gardens,,aqualung-gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcana Seed & Genetics Company,,arcana-seed-genetics-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie's seed Co.,,archies-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archive Seed Bank,,archive-seed-bank,,,,,,,,http://archiveseedbank.com,false,,,,,,,,,,,,,,,,,,,,
Archive of Classic Seeds,,archive-of-classic-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Genetics,,arctic-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aristode Seed Co,,aristode-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Genetix,,art-genetix,,,,,,,,https://artgenetix.world,false,,,,,,,,,,,,,,,,,,,,
Artifact Genetics,,artifact-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artizen Seeds,,artizen-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asclepius Agriculture,,asclepius-agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrul,,astrul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asturjaya,,asturjaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atao Genetics,,atao-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Seed,,atlas-seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aura Genetix,,aura-genetix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Genetics,,aurora-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Winds Botanical Seeds,,aurora-winds-botanical-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Sunseeds,,austrian-sunseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authentic Genetics,,authentic-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Seeds,,author-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoFem Seeds,,autofem-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Seeds,,auto-seeds,,,,,,,,http://www.autoseeds.com,false,,,,,,,,,,,,,,,,,,,,
Automaris,,automaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche Genetics,,avalanche-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon Garden,,avalon-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awka Semillas,,awka-semillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzMeds,,azmeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azarius Seeds,,azarius-seeds,,,,,,,,https://www.azarius.shop,false,,,,,,,,,,,,,,,,,,,,
Aztech Genetics,,aztech-genetics,,,,,,,,http://aztechsmokeshop.co.uk,false,,,,,,,,,,,,,,,,,,,,
B-dub Genetics,,b-dub-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.C. Bud Depot,,bc-bud-depot,,,,,,,,https://www.bcbuddepot.com,false,,,,,,,,,,,,,,,,,,,,
B.C. Grown,,bc-grown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
