source_name,match_type,fuzzy_slug,breeder_master_name,is_hit
Black Farm,name,black,Black Farm Genetix,FALSE
CALI CONNECTION,name,caliconnection,The Cali Connection,TRUE
Greenfield Farms,name,greenfield,Greenfield Seeds,FALSE
The Greenhouse LLC,name,greenhouse,Green House Seeds,FALSE
Northern Virginia Hemp Company L.L.C,name,northernvirginiahemp,Northern Virginia Hemp Company,TRUE
