name,slug
Big Buddy Seeds,bigbuddy
Big Chiefer Reefer,bigchieferreefer
Big Dans Genetix,bigdans
Big Dog Exotic Cannabis Seeds,bigdogexoticcannabis
Big Head Seeds,bighead
Big Muddy Genetics,bigmuddy
Big Nose Genetics,bignose
Big Sky Beans,bigskybeans
Big Tree Cultivars,bigtreecultivars
Bigdogs Seeds Collection,bigdogsseedscollection
Bigworm Genetics,bigworm
Billy Budd,billybudd
Billy Seeds Co,billyseeds
Binary Selections,binaryselections
Bio.dynamic Grown Cultivars,biodynamicgrowncultivars
Bio Bomb Selections,biobombselections
BioQueen Seeds,bioqueen
Bio Vortex,biovortex
Biohazard Seeds,biohazard
Bird Genes,birdgenes
Black Army Collection,blackarmycollection
Black Bear Cannabis Company,blackbearcannabis
Black Cat Seeds,blackcat
Black Diamond Genetics,blackdiamond
Black Farm Genetix,black
Black Flag Genetics,blackflag
Black Hand Seeds,blackhand
Black Label,blacklabel
Black Leaf,blackleaf
BlackLeaf Genetics,blackleaf
Black River Seed co,blackriverseed
Black Sheep Genetics,blacksheep
Black Skull Seeds,blackskull
Black Tuna,blacktuna
Blackbird Preservations,blackbirdpreservations
Blasted Genetics,blasted
Blazed Genetics,blazed
Blim Burn Seeds,blimburn
Blind Rooster Seeds,blindrooster
Blockhead Buds,blockheadbuds
Blood Diamond Seeds,blooddiamond
Bloom Seed Co,bloomseed
BloominBuds518,bloominbuds518
Bloomingdale Organic,bloomingdaleorganic
Blue Blood Genetics,blueblood
Blue Bloods Grow,bluebloodsgrow
Blue Dream King,bluedreamking
BlueHemp Switzerland,bluehempswitzerland
Blue Star Seed Co,bluestarseed
Blue Stone Sanctuary,bluestonesanctuary
Bluedog Genetics,bluedog
Bluegrass Greenthumb,bluegrassgreenthumb
Bluenose Seed Bank,bluenoseseed
Bluerecluse Genetics,bluerecluse
Blurred Vision Genetics,blurredvision
Bmore Genetics,bmore
Bob Marley Seeds,bobmarley
Bodhi Seeds,bodhi
Bohemiaseeds,bohemia
Bomb Seeds,bomb
Bone Yard Genetics,boneyard
Boneyard Seeds Norcal,boneyardseedsnorcal
Bonguru Beans,bongurubeans
Boston Bob,bostonbob
Botafarm California,botafarmcalifornia
Botaseeds,bota
Bound By Fire Seed Co.,boundbyfireseed
Bradley Danks,bradleydanks
Brain Dead Beans,braindeadbeans
Brain Dead Genetics,braindead
BrainDeathGenetics,braindeath
Brain Freeze Seeds,brainfreeze
Brainstrap Genetics,brainstrap
Brave Seed Co,braveseed
Brazilian Seed Company,brazilianseed
Breaking Buds Seeds,breakingbuds
Bred By Woses,bredbywoses
Bred by 42,bredby42
Breeder Choice Organisation,breederchoiceorganisation
Breeder Nature,breedernature
Breeder Seeds Crew,breederseedscrew
Breeders,breeders
Breeders Boutique,breedersboutique
Breeders Choice,breederschoice
Brimhall Genetics,brimhall
Bristol County Cultivars,bristolcountycultivars
British Columbia Seed Company,britishcolumbiaseed
Brothers Grimm,brothersgrimm
Brothers In Farms,brothersin
Brothers Ink.,brothersink
Brujo Seeds,brujo
Buckeye Cannabis Co,buckeyecannabis
Bud White Genetics,budwhite
Buddha Seeds,buddha
Budding Industries,buddingindustries
Bulk Seed Bank,bulkseed
Bulk Seeds,bulk
Bulletproof Genetics,bulletproof
Bullseed Argentina,bullseedargentina
Burning Bush Nurseries,burningbushnurseries
Burning River Genetics,burningriver
Bursty,bursty
Bush Brothers Seeds,bushbrothers
Butter Bean Birdseeds,butterbeanbird
Buuda Pharms,buudapharms
Buzzer Organic Seeds,buzzerorganic
CBD Botanic,cbdbotanic
CBD Crew,cbdcrew
CBD Plus Buds,cbdplusbuds
CBD Seeds,cbd
CFF,cff
CH9 Female Seeds,ch9female
CHAnetics,chanetics
CSI Humboldt,csihumboldt
CabbagePaps,cabbagepaps
Cabin Fever Seed Breeders,cabinfeverseedbreeders
Cabinet of Curiosities Seeds,cabinetofcuriosities
Cajun Style Genetics LLC,cajunstylegenetics
CalCo Genetics,cal
Cali Kush Farms,calikush
Calibiza Seeds,calibiza
California Breeders Association,californiabreedersassociation
California Connoisseur Genetics,californiaconnoisseur
California Seed Farm,californiaseed
Califrosty,califrosty
Califunkyuh,califunkyuh
Calyx Bros. Seed Co.,calyxbrosseed
Camp Exotic,campexotic
Canadian Bred Seeds,canadianbred
Canadian Cannabis Genetics,canadiancannabis
Canadian Seed Lab,canadianseedlab
Canapantica,canapantica
Canarifornia Genetics,canarifornia
CannaBeans Genetics,cannabeans
CannaCurls Genetics,cannacurls
Canna Thai Seeds,cannathai
CannaVenture Seeds,cannaventure
Cannabeizein,cannabeizein
Cannabella Genetics,cannabella
Cannabill-ized Seeds,cannabillized
Cannabinopathic Conceptions,cannabinopathicconceptions
Cannabiogen,cannabiogen
Cannabiotix,cannabiotix
Cannabis 42°,cannabis42
Cannabis Family Seeds,cannabisfamily
Cannabis Genetics,cannabis
Cannabis Research Seed Co,cannabisresearchseed
Cannabis Seeds USA,cannabisseedsusa
Cannafari,cannafari
Cannapot,cannapot
Cannarado Genetics,cannarado
Cannaseur Seedbank,cannaseurseed
Cannavore Selections,cannavoreselections
Canuk Seeds,canuk
Canyon Candy Seed,canyoncandy
Capricorn Seed Company,capricornseed
Captain Seeds,captain
Capulator,capulator
Carpathians Seeds,carpathians
Cartel Seeds,cartel
CashOnlyCannabis,cashonlycannabis
Catalyst Creations,catalystcreations
Caña de España,caadeespaa
Celestial Seeds,celestial
Centennial Seeds,centennial
Ceres Seeds,ceres
ChEM Lab,chemlab
Chantico Seed CO,chanticoseed
Charlies Farm Seeds,charlies
Cheese Gang Seeds,cheesegang
Cheesensugar,cheesensugar
Chef's Genetix,chefs
Chef Grow Genetics,chefgrow
ChenGEN,chengen
Cherubinos,cherubinos
Chim Chiminey Genetics,chimchiminey
Chimera Seeds,chimera
Chosen Few Genetics,chosenfew
Christiania Seedbank,christianiaseed
Chrome Seeds,chrome
Chronic Logical,chroniclogical
Clandestino Seeds,clandestino
Classic Seeds,classic
Clearwater Genetics,clearwater
Clip & Clap,clipclap
Clone Only Strains,cloneonlystrains
Clone Quest,clonequest
Closetcats,closetcats
Cloud Capped Seeds,cloudcapped
Cloudz Seed Co.,cloudzseed
Coalition Seed Co,coalitionseed
