License_Number,Business_Name,License_Type,License_Status,Street,City,State,ZIP,Expiration_Date,Home_Delivery,Disciplinary_Action,Notes,Source
PC-000392,Skymint,Provisioning Center - License,Closed,822 E Front ST,Traverse City,MI,49686,10/18/2023,Approved,,,medical
PC-000399,Lume Cannabis Co.,Provisioning Center - License,Active,738 S Main ST,Adrian,MI,49221,10/22/2026,Approved,,,medical
PC-000390,Ascend Cannabis Group,Provisioning Center - License,Closed,24363 Grand River AVE,Detroit,MI,48219,07/29/2024,Approved,Public Documents Available,,medical
PC-000204,Information Entropy I(X5),Provisioning Center - License,Closed,1115 Broadway ST,Ann Arbor,MI,48105,02/07/2021,Approved,,,medical
PC-000367,High Profile Boutique Cannabis,Provisioning Center - License,Closed,617 Packard ST,Ann Arbor,MI,48104,11/19/2022,Approved,,,medical
PC-000364,"Great Lakes Northern Lights, LLC",Provisioning Center - License,Closed,719 Parsons RD,Traverse City,MI,49686,02/06/2021,,,,medical
PC-000371,Oz Cannabis,Provisioning Center - License,Closed,16829 Harper AVE,Detroit,MI,48224,02/05/2023,Approved,,,medical
PC-000206,The Flower Pot,Provisioning Center - License,Closed,4347 Page AVE,Michigan Center,MI,49254,02/03/2025,,Public Documents Available,,medical
PC-000377,Canna Vista Wellness,Provisioning Center - License,Closed,120 E Front ST,Buchanan,MI,49107,01/31/2024,Approved,,,medical
PC-000383,Green Koi Douglas,Provisioning Center - License,Closed,435 Blue Star HWY Suite A & B,Douglas,MI,49406,01/29/2024,Approved,,,medical
PC-000325,Fire Creek Bay City,Provisioning Center - License,Closed,3895 N Euclid AVE,Bay City,MI,48706,01/28/2023,,Public Documents Available,,medical
PC-000379,Greencare Provisioning Center,Provisioning Center - License,Closed,10880 W Jefferson ST,River Rouge,MI,48218,01/28/2023,Approved,Public Documents Available,,medical
PC-000368,Cookies Detroit,Provisioning Center - License,Closed,6030 E 8 Mile RD,Detroit,MI,48324,07/30/2025,Approved,Public Documents Available,,medical
PC-000354,Curaleaf,Provisioning Center - License,Closed,1986 South Sprinkle RD,Kalamazoo,MI,49048,06/07/2024,Approved,Public Documents Available,,medical
PC-000393,Breeze USA,Provisioning Center - License,Closed,24517 John R RD,Hazel Park,MI,48030,08/16/2023,,Public Documents Available,,medical
PC-000381,Pure Roots LLC,Provisioning Center - License,Closed,3430 Washtenaw AVE,Ann Arbor,MI,48104,01/17/2023,Approved,,,medical
PC-000042,Cross Street Shop,Provisioning Center - License,Closed,513 W Cross ST,Ypsilanti,MI,48197,01/17/2023,,Public Documents Available,,medical
PC-000257,"HG Lansing, LLC",Provisioning Center - License,Closed,2157 S. Mission ST Suite D & E,Mt. Pleasant,MI,48858,04/25/2021,,,,medical
PC-000386,Lume Cannabis Co.,Provisioning Center - License,Closed,116 N Washington ST,Owosso,MI,48867,10/22/2024,Approved,,,medical
PC-000088,House of Dank Ypsilanti,Provisioning Center - License,Closed,50 Ecorse RD Suite B,Ypsilanti,MI,48198,01/14/2023,Approved,Public Documents Available,,medical
PC-000266,"Redbud Roots Lab X, Inc.",Provisioning Center - License,Closed,6669 E M 72,Williamsburg,MI,49690,01/13/2023,Approved,,,medical
PC-000339,Stash Detroit,Provisioning Center - License,Closed,10015 W. Fort ST,Detroit,MI,48209,01/13/2022,Approved,Public Documents Available,,medical
PC-000315,Fluresh LLC,Provisioning Center - License,Closed,1213 Phillips SW AVE,Grand Rapids,MI,49507,07/16/2022,Approved,,,medical
PC-000282,Highly Cannaco,Provisioning Center - License,Closed,752 Munson AVE,Traverse City,MI,49686,01/08/2024,Approved,,,medical
