(index),Business Name,Address,Type
242,'Zen Leaf Mount Holly',"'600 High St, Mt Holly, NJ 08060, USA'",'Recreational cannabis |\nOffers delivery'
243,'Apothecarium Dispensary',"'55 S Main St, Phillipsburg, NJ 08865, USA'",'Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)'
244,'Apothecarium Dispensary',"'1865 Springfield Ave, Maplewood, NJ 07040, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
245,'Apothecarium Dispensary',"'200 NJ-17, Lodi, NJ 07644, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
246,'Ascend',"'325 NJ-15, Wharton, NJ 07885, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
247,'Ascend',"'461-469 West St, Fort Lee, NJ 07024, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
248,'Ascend',"'174 NJ-17, Rochelle Park, NJ 07662, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
249,"""Aunt Mary's Dispensary""","'100 Reaville Ave, Flemington, NJ 08822, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
250,'Ayr Wellness',"'950 US-1, Woodbridge, NJ 07095, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
251,'Ayr Wellness',"'59 Main St, Eatontown, NJ 07724, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
252,'Ayr Wellness',"'2536 US-22, Union, NJ 07083, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
253,'BLOC',"'1075 Easton Ave, Somerset, NJ 08873, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
254,'BLOC',"'501 US-9, Waretown, NJ 08758, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
255,'BLOC',"'1761 N Olden Ave, Ewing Township, NJ 08638, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
256,'Breakwater',"'2 Corporate Dr, East Windsor, NJ 08512, USA'",'Medicinal cannabis'
257,'Breakwater',"'154 Westfield Ave W, Roselle Park, NJ 07204, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
258,"""Brute's Roots""","'6206 Black Horse Pike, Egg Harbor Township, NJ 08234, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
259,"""Brute's Roots-Paulsboro""","'2001 S Delaware St, Paulsboro, NJ 08066, USA'",'Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)'
260,'Curaleaf',"'191 US-130, Bordentown, NJ 08505, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
261,'Curaleaf',"'4237 US-130, Edgewater Park, NJ 08010, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
262,'Curaleaf',"'640 Creek Rd, Bellmawr, NJ 08031, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
263,'Design 710',"'112 Park Pl, Atlantic City, NJ 08401, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
264,'Downtown FLWR',"'141 Newark Ave, Jersey City, NJ 07302, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
265,'Eastern Green',"'78 NJ-73, Voorhees Township, NJ 08043, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
266,'Garfield Gardens Dispensary',"'517 River Dr, Garfield, NJ 07026, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
267,'Holistic Solutions',"'451 White Horse Pike, Atco, NJ 08004, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
268,'HoneyGrove',"'1337 Blackwood-Clementon Rd, Clementon, NJ 08021, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
269,'Illicit Gardens Dispensary Secaucus',"'30 Wood Ave, Secaucus, NJ 07094, USA'",'Medicinal cannabis'
270,'Monmouth Wellness & Healing (Formerly NJ Leaf)',"'546 Park Ave, Freehold, NJ 07728, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
271,'Monmouth Wellness and Healing',"'359 NJ-35, Cliffwood, NJ 07721, USA'",'Medicinal cannabis'
272,'Monteverde NJ',"'45 Bridge Ave, Red Bank, NJ 07701, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
273,'MPX NJ',"'153 S New York Ave, Atlantic City, NJ 08401, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
274,'MPX NJ',"'5035 Central Hwy, Pennsauken Township, NJ 08109, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
275,'MPX NJ',"'581 Berlin - Cross Keys Rd, Sicklerville, NJ 08081, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
276,'NJ Leaf North Brunswick (Formerly Garden State Botanicals)',"'1345 US-1, North Brunswick Township, NJ 08902, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
277,'Restore NJ',"'300 William Dalton Dr, Glassboro, NJ 08028, USA'",'Medicinal cannabis'
278,'RIPT',"'220 Broadway, Jersey City, NJ 07306, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
279,'RISE',"'145 Rte 4, Paramus, NJ 07652, USA'",'Medicinal cannabis |\nOffers delivery'
280,'RISE',"'196 3rd Ave 3 c, Paterson, NJ 07514, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
281,'RISE',"'26-48 Bloomfield Ave, Bloomfield, NJ 07003, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
282,'Roots Dispensary',"'4402 US-130, Willingboro, NJ 08046, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
283,'Sanctuary Cannabis',"'2581 US-22, Scotch Plains, NJ 07076, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
284,'SilverLeaf Wellness',"'1743 NJ-27, Somerset, NJ 08873, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
285,'Sweet Spot',"'903 White Horse Rd, Voorhees Township, NJ 08043, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
286,'The Botanist',"'2090 N Black Horse Pike, Williamstown, NJ 08094, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
287,'The Botanist',"'35 W Crescent Blvd, Collingswood, NJ 08108, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
288,'The Botanist',"'100 Century Dr, Egg Harbor Township, NJ 08234, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
289,'The Cannabist',"'4476 Black Horse Pike Suite 2, Mays Landing, NJ 08330, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
290,'The Cannabist',"'1062 N Delsea Dr, Vineland, NJ 08360, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
291,'The Cannabist',"'1692 Clements Bridge Rd, Deptford, NJ 08096, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
292,'The Station',"'86 River St, Hoboken, NJ 07030, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
293,'Theo A. Cannabis',"'3059 NJ-27 unit 104, Franklin Park, NJ 08823, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis'
294,'Theory Wellness',"'461 New York Ave, Trenton, NJ 08638, USA'",'Medicinal cannabis'
295,'Toke Lane - Trenton',"'226 S Broad St, Trenton, NJ 08608, USA'",'Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)'
296,'URB’N Dispensary',"'378 South St, Newark, NJ 07105, USA'",'Medicinal cannabis |\nRecreational cannabis |\nExpan…ec) |\nCannabis Consumption Area |\nOffers delivery'
297,'Valley Wellness',"'407 US-202, Raritan, NJ 08869, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
298,'Zen Leaf',"'NJ-66, Neptune Township, NJ, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
299,'Zen Leaf',"'117 Spring St, Elizabeth, NJ 07201, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
300,'Zen Leaf',"'3256 Brunswick Pike, Lawrence Township, NJ 08648, USA'",'Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery'
,,,
