"Establishment Type","Name","License Number","License Type","Priority/Expedited Status","Location","Related Documents"
"Adult-Use","Impressed LLC","MC282148","Marijuana Cultivator","General Applicant","15 Commercial Waye Hanson, MA 02341",""
"Adult-Use","Black Harbor Group, LLC","MR282947","Marijuana Retailer","Priority Review - MTC Priority","510 State Road West Tisbury, MA 02575",""
"Adult-Use","New England Treatment Access, LLC.","MR283065","Marijuana Retailer","General Applicant","162 Grove Street Franklin, MA 02038",""
"Adult-Use","Reverie 73 Lowell, LLC","MR283066","Marijuana Retailer","General Applicant","1148 Bridge St Lowell, MA 01852",""
"Adult-Use","B Leaf Wellness Centre LLC","MR281356","Marijuana Retailer","General Applicant","24 W. Main Street Ware, MA 01082",""
"Adult-Use","Tree Market Taunton LLC","MR281597","Marijuana Retailer","General Applicant","9 Cape Road Taunton, MA 02780",""
"Adult-Use","Volcann LLC","MR282925","Marijuana Retailer","General Applicant","15 College Highway Unit G2 Southampton, MA 01073",""
"Adult-Use","Charlton Investments, LLC","MR282757","Marijuana Retailer","General Applicant","144 Sturbridge Road Charlton, MA 01507",""
"Adult-Use","COASTAL CULTIVARS, INC.","MC282052","Marijuana Cultivator","Expedited Review - License Type","23 Patterson Brook Road Wareham, MA 02576",""
"Adult-Use","Silver Therapeutics, Inc.","MR283074","Marijuana Retailer","General Applicant","717-721 American Legion Highway Boston, MA 02121",""
"Adult-Use","Mill Town Agriculture, LLC","MC282596","Marijuana Cultivator","General Applicant","1 Cabot Street Holyoke, MA 01040",""
"Adult-Use","Cedar Roots LLC","MC282746","Marijuana Cultivator","Expedited Review - DBE Status","50 East Main Street Ware, MA 01082",""
"Adult-Use","Cedar Roots LLC","MP281872","Marijuana Product Manufacturer","Expedited Review - DBE Status","50 East Main Street Ware, MA 01082",""
"Adult-Use","Treevit LLC","DO100105","Marijuana Courier","Expedited Review - Social Equity Participant","134 Chestnut Hill Avenue Athol, MA 01331",""
"Adult-Use","New Leaf Enterprises, Inc.","MR283203","Marijuana Retailer","Expedited Review - Social Equity Participant","360 Second Street Fall River, MA 02721",""
