"Establishment Type","Name","License Number","License Type","Priority/Expedited Status","Location","Related Documents"
"Adult-Use","New Dia Fenway LLC","MR284222","Marijuana Retailer","Priority Review - Economic Empowerment Priority","48-62 Brookline Ave Boston, MA 02215",""
"Adult-Use","The Harvest Club, LLC","MR284103","Marijuana Retailer","Expedited Review - Social Equity Participant","255 Elm Street Somerville, MA 02144",""
"Adult-Use","MA Craft Cultivation LLC","MC283549","Marijuana Cultivator","Expedited Review - Two or More","108 West Leyden Road Colrain, MA 01340",""
"Adult-Use","Green Choice Dispensaries, LLC","MR283234","Marijuana Retailer","General Applicant","114 Main Street Blackstone, MA 01504",""
"Adult-Use","UC Cultivation, LLC","MC283608","Marijuana Cultivator","Expedited Review - License Type","601 Fitchburg State Road Ashby, MA 01431",""
"Adult-Use","Coastal Healing","MC282761","Marijuana Cultivator","Priority Review - MTC Priority","248 State Road Westport, MA 02790",""
"Adult-Use","Holyoke Wilds, LLC","MC283571","Marijuana Cultivator","General Applicant","20 Hadley Mill Rd Holyoke, MA 01040",""
"Adult-Use","Capeway Cannabis LLC","MR282446","Marijuana Retailer","General Applicant","307 Tremont Street Carver, MA 02330",""
"Adult-Use","Apothca, Inc.","MR284429","Marijuana Retailer","Priority Review - MTC Priority","54a Hyde Park Ave Boston, MA 02130",""
"Adult-Use","Impressed LLC","MP281823","Marijuana Product Manufacturer","General Applicant","15 Commercial Way Hanson, MA 02341",""
"Adult-Use","Solurge Inc.","MC281300","Marijuana Cultivator","General Applicant","650 Beaulieu Street Holyoke, MA 01040",""
"Adult-Use","Solurge Inc.","MR282372","Marijuana Retailer","General Applicant","650 Beaulieu Street Holyoke, MA 01040",""
"Adult-Use","Canna Provisions Inc","MC283454","Marijuana Cultivator","Expedited Review - License Type","1884 North Main Street Sheffield, MA 01257",""
"Adult-Use","The Heirloom Collective, Inc.","MR284511","Marijuana Retailer","General Applicant","87 Northfield Road Bernardston, MA 01337",""
"Adult-Use","Mederi, Inc.","MP281806","Marijuana Product Manufacturer","General Applicant","44 Boynton Road Holliston, MA 01746",""
"Adult-Use","Sama Productions LLC","MC282179","Marijuana Cultivator","General Applicant","42 South Main Street Sandisfield, MA 01255",""
"Adult-Use","Sama Productions, LLC","MP281686","Marijuana Product Manufacturer","General Applicant","42 South Main Street Sandisfield, MA 01255",""
"Adult-Use","EVG FARMS LLC","MR284535","Marijuana Retailer","Priority Review - Economic Empowerment Priority","883 Hyde Park Ave Boston, MA 02136",""
"Adult-Use","Baked Beans Farm LLC","MP282045","Marijuana Product Manufacturer","General Applicant","150 Sam Fonzo Drive Beverly, MA 01915",""
"Adult-Use","Ember Gardens Cape Cod LLC","MR284542","Marijuana Retailer","Expedited Review - Two or More","41 MA-6A Orleans, MA 02653",""
"Adult-Use","INDICA LLC","MR284431","Marijuana Retailer","Expedited Review - DBE Status","127 Columbia St Adams, MA 01220",""
"Adult-Use","Pure Oasis LLC","MR284576","Marijuana Retailer","Priority Review - Economic Empowerment Priority","85 Devonshire Street Boston, MA 02210",""
"Adult-Use","311 Page Blvd Holding Group LLC","MR282714","Marijuana Retailer","General Applicant","311 Page Boulevard Springfield, MA 01104",""
"Adult-Use","Sweetgrass Botanicals Extractions LLC","MP282058","Marijuana Product Manufacturer","Expedited Review - DBE Status","635 Laurel Street Lee, MA 01238",""
"Adult-Use","Sweetgrass Botanicals LLC","MR284185","Marijuana Retailer","Expedited Review - DBE Status","635 Laurel Street Lee, MA 01238",""
"Adult-Use","Elevated Roots II LLC","MR284547","Marijuana Retailer","General Applicant","319 Monponsett Street Halifax, MA 02338",""
"Adult-Use","Fairway Botanicals LLC","MR281755","Marijuana Retailer","General Applicant","882-886 South St Boston, MA 02131",""
"Adult-Use","ReLeaf Alternative Natick, Inc.","MR284537","Marijuana Retailer","Expedited Review - DBE Status","291 Worcester Street Natick, MA 01760",""
"Adult-Use","Green Meadows Farm, LLC","MR284280","Marijuana Retailer","General Applicant","50 Whalon Street Suite C Fitchburg, MA 01420",""
"Adult-Use","Holistic Health Group Inc","MR283126","Marijuana Retailer","Priority Review - MTC Priority","477 Wareham st Middleborough, MA 02346",""
"Adult-Use","DMS Trinity, LLC","MR282590","Marijuana Retailer","Expedited Review - Social Equity Participant","260 Second Street Chelsea, MA 02150",""
"Adult-Use","Aura Cannabis Company LLC","MR282487","Marijuana Retailer","Expedited Review - Social Equity Participant","320 Airport Road Fall River, MA 02720",""
"Adult-Use","Aura Cannabis Company LLC","MC282387","Marijuana Cultivator","Expedited Review - Social Equity Participant","320 Airport Road Fall River, MA 02720",""
"Adult-Use","Evergreen Industries LLC","MC283694","Marijuana Cultivator","Expedited Review - DBE Status","1 Cabot Street Holyoke, MA 01040",""
"Adult-Use","Solar Therapeutics Inc.","MR282731","Marijuana Retailer","General Applicant","493 Faunce Corner Road Dartmouth, MA 02747",""
"Adult-Use","Greater Goods, LLC","MB282344","Marijuana Microbusiness","Expedited Review - License Type","445 Myles Standish Blvd. Taunton, MA 02780",""
"Adult-Use","Budega, Inc.","MR281353","Marijuana Retailer","Expedited Review - DBE Status","1686 Massachusetts Ave Cambridge, MA 02138",""
"Adult-Use","SunnyDayz Inc.","MC283692","Marijuana Cultivator","General Applicant","Greenfield Road Lot 150-7 and Lot 159-14 total of 28 acres Deerfield, MA 01373",""
"Adult-Use","Curaleaf Processing, Inc.","RE281303","Marijuana Research Facility","General Applicant","241 Riverview Avenue Newton, MA 02466",""
"Adult-Use","UC Retail, LLC","MR284616","Marijuana Retailer","General Applicant","489 Main Street Unit A Groton, MA 01450",""
"Adult-Use","SunnyDayz Inc.","MR284636","Marijuana Retailer","General Applicant","Greenfield Road Lot 150-7 and Lot 159-14 Deerfield, MA 01342",""
"Adult-Use","Western Front, LLC","MR284389","Marijuana Retailer","Priority Review - Economic Empowerment Priority","98 Winthrop Street Cambridge, MA 02138",""
"Adult-Use","OCS Green Leaves, LLC","MR284476","Marijuana Retailer","Priority Review - MTC Priority","12 Latti Farm Road Millbury, MA 01527",""
"Adult-Use","Coyote Cannabis Corporation","MC283657","Marijuana Cultivator","General Applicant","420 West Street Uxbridge, MA 01569",""
"Adult-Use","Coyote Cannabis Corporation","MP282152","Marijuana Product Manufacturer","General Applicant","420 West Street Uxbridge, MA 01569",""
"Adult-Use","Hudson Botanical Processing LLC","MP282157","Marijuana Product Manufacturer","General Applicant","14 Kane Industrial Dr. Hudson, MA 01749",""
"Adult-Use","House of Ermias, LLC","MR284346","Marijuana Retailer","Expedited Review - Social Equity Participant","267 Broadway Chelsea, MA 02150",""
"Adult-Use","Enlite Cannabis Dispensary LLC","MR284651","Marijuana Retailer","Expedited Review - DBE Status","479 Main Street Springfield, MA 01151",""
"Adult-Use","Primus LLC","MR284441","Marijuana Retailer","Expedited Review - Social Equity Participant","666 State St. Springfield, MA 01109",""
"Adult-Use","BeWell Organic Medicine, Inc.","MR284729","Marijuana Retailer","General Applicant","17 Broad Street Merrimac, MA 01860",""
"Adult-Use","Green Gold Group","MR284703","Marijuana Retailer","General Applicant","1140 Thorndike Street Palmer, MA 01069",""
"Adult-Use","Caroline's Cannabis, LLC","MP282232","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","4 Charlesview Road Hopedale, MA 01747",""
"Adult-Use","Sanctuary Medicinals, Inc.","MR284210","Marijuana Retailer","Priority Review - MTC Priority","130 Commerce Way Woburn, MA 01801",""
"Adult-Use","Apotho Therapeutics Dartmouth INC","MR283521","Marijuana Retailer","General Applicant","747 State Road Dartmouth, MA 02747",""
"Adult-Use","Apotho Therapeutics Dartmouth Manufacturing, Inc.","MC283298","Marijuana Cultivator","General Applicant","757 state road Dartmouth, MA 02747",""
"Adult-Use","Atlas Marketplace & Delivery LLC dba Plymouth Armor Group","MT281667","Third Party Marijuana Transporter","General Applicant","44 Depot Street Unit C Belchertown, MA 01007",""
"Adult-Use","JMK Gardening, LLC DBA Wonderland-Cannabis Co","MR284654","Marijuana Retailer","Expedited Review - DBE Status","11 McCracken Road, Suite C, Millbury, MA 01527",""
"Adult-Use","Health Circle, Inc.","MR282585","Marijuana Retailer","Priority Review - MTC Priority","120 Enterprise Drive Marshfield, MA 02050",""
"Adult-Use","Holistic Industries, Inc.","MR281787","Marijuana Retailer","Priority Review - MTC Priority","304 Somerville Avenue Somerville, MA 02143",""
"Adult-Use","Jolly Green INC","MP282234","Marijuana Product Manufacturer","General Applicant","246 Suffolk Lane Gardner, MA 01440",""
"Adult-Use","CATDOGG LLC","MP282258","Marijuana Product Manufacturer","General Applicant","800 Falmouth Road Unit B1A Mashpee, MA 02649",""
"Adult-Use","CATDOGG LLC","MR284871","Marijuana Retailer","General Applicant","800 Falmouth Road Unit 102A Mashpee, MA 02649",""
"Adult-Use","Blossom Flower LLC","MP282139","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","1 Cabot St Holyoke, MA 01040",""
"Adult-Use","Blossom Flower LLC","MX281418","Marijuana Transporter with Other Existing ME License","Expedited Review - Social Equity Participant","1 Cabot St Holyoke, MA 01040",""
"Adult-Use","NashMac LLC","MR281304","Marijuana Retailer","Priority Review - Economic Empowerment Priority","678 Adams Street Abington, MA 02351",""
"Medical","Green Meadows Farm, LLC","RMD3633","Medical Marijuana Cultivator","General Applicant","64 Mill Street Southbridge, MA 01550",""
"Medical","Green Meadows Farm, LLC","RMD3633","Medical Marijuana Product Manufacturer","General Applicant","64 Mill Street Southbridge, MA 01550",""
"Medical","Green Meadows Farm, LLC","RMD3633","Medical Marijuana Retailer","General Applicant","50 Whalon Street Suite C Fitchburg, MA 01420",""
"Adult-Use","ELEVATION RETAIL LLC","MR284765","Marijuana Retailer","General Applicant","2121 Phillips Road New Bedford, MA 02740",""
"Adult-Use","FreeMarketMA LLC","MC283866","Marijuana Cultivator","Expedited Review - License Type","118 Bayview Avenue Berkley, MA 02779",""
"Adult-Use","Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis","MR284843","Marijuana Retailer","Expedited Review - Social Equity Participant","727 Atlantic Ave. Floors #1 Boston, MA 02111",""
"Adult-Use","Cannabis Healing LLC","MR283634","Marijuana Retailer","General Applicant","2A-4 Neptune Road Boston, MA 02128",""
"Medical","Green Gold Group","RMD3831","Medical Marijuana Retailer","General Applicant","910 Boston Post Road STE 100 Marlborough, MA 01752",""
"Adult-Use","Pluto Cannabis Co.","MR284913","Marijuana Retailer","Expedited Review - DBE Status","193-195 Oxford St Lynn, MA 01901",""
"Adult-Use","Alternative Compassion Services Inc","MR284457","Marijuana Retailer","Priority Review - MTC Priority","693 Elm Street Bridgewater, MA 02324",""
"Adult-Use","JO Gardner, Inc.","MR284026","Marijuana Retailer","General Applicant","320 West Broadway Unit 1 Gardner, MA 01440",""
"Adult-Use","Underground Legacy Social Club, LLC","MR284914","Marijuana Retailer","Expedited Review - Social Equity Participant","1379-1385 Blue Hill Ave Boston, MA 02126",""
"Adult-Use","Community Growth Partners Boston, LLC","MR284256","Marijuana Retailer","Expedited Review - DBE Status","591 Albany St Boston, MA 02118",""
"Adult-Use","ARL Healthcare Inc.","MR284873","Marijuana Retailer","General Applicant","216 Ricciuti Drive Quincy, MA 02169",""
"Adult-Use","Cloudfarming LLC","MB281350","Marijuana Microbusiness","Expedited Review - License Type","50 Condor Street Boston, MA 02128",""
"Adult-Use","Witch City Gardens, LLC","MC283839","Marijuana Cultivator","Expedited Review - DBE Status","2 Bridge Street Salem, MA 01970",""
"Adult-Use","Medicine Man Solutions LLC","MR283261","Marijuana Retailer","Expedited Review - Social Equity Participant","446 Winthrop Street Taunton, MA 02780",""
"Adult-Use","Pure Tewksbury, Inc.","MR284994","Marijuana Retailer","General Applicant","1695 Shawsheen St Tewksbury, MA 01876",""
"Adult-Use","New England Craft Cultivators, LLC","MR284689","Marijuana Retailer","General Applicant","1 Forge Village Road Groton, MA 01450",""
"Adult-Use","Hidden Wonders, LLC","MR285040","Marijuana Retailer","General Applicant","27 Robert J. Way Unit 1 Plymouth, MA 02360",""
"Adult-Use","Clovercraft LLC","MR284574","Marijuana Retailer","Expedited Review - Social Equity Participant","17 East St. Easthampton, MA 01027",""
"Adult-Use","SAWF Estate LLC","MR284312","Marijuana Retailer","Expedited Review - Social Equity Participant","879 Blue Hill Avenue Boston, MA 02124",""
"Adult-Use","Lazy River Products - Tewksbury, LLC","MR284805","Marijuana Retailer","General Applicant","553 Main Street, Unit 2 Tewksbury, MA 01876",""
"Adult-Use","Berkley Botanicals LLC","MR284877","Marijuana Retailer","General Applicant","305 Bedford street Unit 1 & 2 Whitman, MA 02382",""
"Medical","Green Gold Group, Inc","RMD4217","Medical Marijuana Retailer","General Applicant","1140 Thorndike Street Palmer, MA 01069",""
"Adult-Use","Pure Framingham, Inc.","MR285279","Marijuana Retailer","General Applicant","85 Worcester Road Framingham, MA 01702",""
"Adult-Use","Green Meadows Farm, LLC","MR285191","Marijuana Retailer","General Applicant","239 Boston Post Road West Marlborough, MA 01752",""
"Adult-Use","Alternative Compassion Services, Inc.","MR285029","Marijuana Retailer","General Applicant","175 George Washington Blvd. Hull, MA 02045",""
"Adult-Use","Pioneer Valley Trading Company Inc.","MR285301","Marijuana Retailer","General Applicant","660 College Highway Southwick, MA 01077",""
"Adult-Use","Peak Collective LLC","MR285297","Marijuana Retailer","General Applicant","325 stockbridge rd Great Barrington, MA 01230",""
"Adult-Use","Elevated Roots III LLC","MR285298","Marijuana Retailer","General Applicant","1423 Bedford Street Abington, MA 02351",""
"Adult-Use","Hometown Harvest LLC","MR285387","Marijuana Retailer","Expedited Review - DBE Status","243 Main Street Athol, MA 01331",""
"Medical","New England Treatment Access, LLC.","RMD3028","Medical Marijuana Cultivator","General Applicant","5 Forge Parkway Franklin, MA 02038",""
"Medical","New England Treatment Access, LLC.","RMD3028","Medical Marijuana Product Manufacturer","General Applicant","5 Forge Parkway Franklin, MA 02038",""
"Medical","New England Treatment Access, LLC.","RMD3028","Medical Marijuana Retailer","General Applicant","162 Grove Street Franklin, MA 02038",""
"Adult-Use","Diem Lynn, LLC","MR283369","Marijuana Retailer","General Applicant","211-217 Lewis Street Lynn, MA 01902",""
"Medical","Cultivate Leicester, Inc.","RMD3193","Medical Marijuana Cultivator","General Applicant","100 Campanelli Drive Uxbridge, MA 01569",""
"Medical","Cultivate Leicester, Inc.","RMD3193","Medical Marijuana Product Manufacturer","General Applicant","100 Campanelli Drive Uxbridge, MA 01569",""
"Medical","Cultivate Leicester, Inc.","RMD3193","Medical Marijuana Retailer","General Applicant","250 Worcester Road Framingham, MA 01702",""
"Medical","Good Chemistry of Massachusetts, Inc.","RMD3061","Medical Marijuana Retailer","General Applicant","9 Harrison Street Worcester, MA 01604",""
"Medical","Good Chemistry of Massachusetts, Inc.","RMD3061","Medical Marijuana Cultivator","General Applicant","390 Hopping Brook Road Holliston, MA 01746",""
"Medical","Good Chemistry of Massachusetts, Inc.","RMD3061","Medical Marijuana Product Manufacturer","General Applicant","390 Hopping Brook Road Holliston, MA 01746",""
"Medical","Alternative Compassion Services","RMD3320","Medical Marijuana Retailer","General Applicant","175 George Washington Blvd Hull, MA 02045",""
"Adult-Use","Bracts & Pistils, LLC","DO100103","Marijuana Courier","Priority Review - Economic Empowerment Priority","144 West Britannia Street Bldg 4 Units 5&6 Taunton, MA 02780",""
"Medical","In Good Health, Inc.","RMD3305","Medical Marijuana Retailer","General Applicant","449 Route 130 Sandwich, MA 02563",""
"Adult-Use","HVV Massachusetts, Inc.","MR283861","Marijuana Retailer","Priority Review - MTC Priority","220 William McClellan Hwy Boston, MA 02128",""
"Adult-Use","Pharmacannis Massachusetts, Inc.","MR283436","Marijuana Retailer","Priority Review - MTC Priority","232 Boylston Street Newton, MA 02459",""
"Medical","Pharmacannis Massachusetts Inc.","RMD3045","Medical Marijuana Cultivator","General Applicant","465 Hoppingbrook Rd Holliston, MA 01746",""
"Medical","Pharmacannis Massachusetts Inc.","RMD3045","Medical Marijuana Product Manufacturer","General Applicant","465 Hoppingbrook Rd Holliston, MA 01746",""
"Medical","Pharmacannis Massachusetts Inc.","RMD3045","Medical Marijuana Retailer","General Applicant","939 Boston Turnpike Shrewsbury, MA 01545",""
"Adult-Use","Sira Naturals, Inc.","MR283886","Marijuana Retailer","Priority Review - MTC Priority","48 North Beacon Street Watertown, MA 02472",""
"Adult-Use","Major Bloom, LLC","DO100119","Marijuana Courier","Priority Review - Economic Empowerment Priority","76 Millbury St. Worcester, MA 01610",""
"Adult-Use","Sira Naturals, Inc.","MR283946","Marijuana Retailer","Priority Review - MTC Priority","827-829 Boylston Street Boston, MA 02116",""
"Adult-Use","KG Collective Cambridge, LLC","MR284181","Marijuana Retailer","Priority Review - Economic Empowerment Priority","701-703B Mt. Auburn Street Cambridge, MA 02138",""
"Adult-Use","Advesa MA, Inc.","MR284113","Marijuana Retailer","Priority Review - Economic Empowerment Priority","966 Cambridge St. Cambridge, MA 02141",""
"Medical","NS AJO Holdings, Inc.","RMD3535","Medical Marijuana Retailer","General Applicant","20 Authority Drive Fitchburg, MA 01420",""
"Adult-Use","Verdant Reparative, Inc.","MP282085","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","150 State Street Boston, MA 02109",""
"Adult-Use","DB Delivery MA, LLC","MD1258","Marijuana Delivery Operator","Priority Review - Economic Empowerment Priority","4 Recovery Road Wareham, MA 02571",""
"Adult-Use","Revolutionary Clinics II, Inc.","MR284246","Marijuana Retailer","Priority Review - MTC Priority","130 Pioneer Drive Leominster, MA 01453",""
"Adult-Use","PharmaCannis Massachusetts, Inc.","MP282063","Marijuana Product Manufacturer","Priority Review - MTC Priority","465 Hoppingbrook Rd Holliston, MA 01746",""
"Adult-Use","Beacon Compassion Inc.","MR284569","Marijuana Retailer","General Applicant","1524 VFW Parkway Boston, MA 02132",""
"Medical","I.N.S.A., Inc.","RMD3362","Medical Marijuana Retailer","General Applicant","20 Stockwell Drive Avon, MA 02322",""
"Medical","Berkshire Roots Inc.","RMD3480","Medical Marijuana Retailer","General Applicant","253 Meridian Street Boston, MA 02128",""
"Adult-Use","Bountiful Farms, Inc.","MR284694","Marijuana Retailer","Priority Review - MTC Priority","315 Worcester Road Framingham, MA 01701",""
"Adult-Use","Mass Greenwoods LLC","MR284644","Marijuana Retailer","Priority Review - Economic Empowerment Priority","116 Harvard Avenue Boston, MA 02134",""
"Adult-Use","Theory Wellness Inc.","MR284150","Marijuana Retailer","Priority Review - MTC Priority","162 Mystic Avenue Medford, MA 02155",""
"Adult-Use","In Good Health","MR284655","Marijuana Retailer","General Applicant","449 Route 130 Sandwich, MA 02563",""
"Adult-Use","GreenSoul Organics, Inc.","MR284855","Marijuana Retailer","Priority Review - Economic Empowerment Priority","759 Massachusetts Avenue Cambridge, MA 02139",""
"Adult-Use","FFD Enterprises MA, Inc.","MR284920","Marijuana Retailer","Priority Review - MTC Priority","175 Memorial Avenue West Springfield, MA 01089",""
"Adult-Use","Healing Greene Massachusetts LLC","MR284583","Marijuana Retailer","Priority Review - Economic Empowerment Priority","1960 Massachusetts Avenue Cambridge, MA 02140",""
"Adult-Use","CommCan, Inc.","MR284925","Marijuana Retailer","Expedited Review - DBE Status","611 West St. Mansfield, MA 02084",""
"Medical","Resinate, Inc.","RMD4121","Medical Marijuana Cultivator","General Applicant","120 Gilboa Street Douglas, MA 01516",""
"Medical","Resinate, Inc.","RMD4121","Medical Marijuana Retailer","General Applicant","110 Pleasant Street Northampton, MA 01060",""
"Medical","Resinate, Inc.","RMD4121","Medical Marijuana Product Manufacturer","General Applicant","120 Gilboa Street Douglas, MA 01516",""
"Adult-Use","Krishna Lenox, LLC","MR283357","Marijuana Retailer","Expedited Review - DBE Status","439 Pittsfield Road Unit C Lenox, MA 01240",""
"Adult-Use","New England Craft Cultivators, LLC","MR283367","Marijuana Retailer","Expedited Review - DBE Status","112-114 Main Street Unit #1 Pepperell, MA 01463",""
"Adult-Use","New England Craft Cultivators, LLC","MR283416","Marijuana Retailer","Expedited Review - DBE Status","61 Silva Lane 2nd Floor Dracut, MA 01826",""
"Medical","KRD Growers, LLC","RMD3322","Medical Marijuana Cultivator","General Applicant","89 Parker Street Clinton, MA 01510",""
"Medical","KRD Growers, LLC","RMD3322","Medical Marijuana Product Manufacturer","General Applicant","89 Parker Street Clinton, MA 01510",""
"Medical","KRD Growers, LLC","RMD3322","Medical Marijuana Retailer","General Applicant","89 Parker Street Clinton, MA 01510",""
"Adult-Use","PJEGD Enterprise Inc.","MR283325","Marijuana Retailer","General Applicant","2393 Route 6 Wellfleet, MA 02667",""
"Adult-Use","JDM Sales, Inc.","MR283519","Marijuana Retailer","Expedited Review - DBE Status","103 Uxbridge Road Mendon, MA 01756",""
"Adult-Use","Lowell Cannabis Company","MR283351","Marijuana Retailer","Expedited Review - DBE Status","1201 Westford Street Lowell, MA 01851",""
"Adult-Use","Elevated Cultivation Co. LLC","MC282873","Marijuana Cultivator","Expedited Review - DBE Status","44 William C. Gould Jr. way Unit C Kingston, MA 02364",""
"Adult-Use","Twisted Growers LLC","MP281909","Marijuana Product Manufacturer","General Applicant","415 Millennium Circle Lakeville, MA 02347",""
"Adult-Use","Webber Road Ops, LLC","MR283559","Marijuana Retailer","General Applicant","275 Sturbridge Road Brimfield, MA 01010",""
"Adult-Use","208 Worcester Street, LLC","MR283652","Marijuana Retailer","General Applicant","208 Worcester Street Southbridge, MA 01550",""
"Adult-Use","BB Botanics LLC","MC282817","Marijuana Cultivator","General Applicant","242 John Wise Avenue Essex, MA 01929",""
"Adult-Use","Cannabro, LLC","MR283743","Marijuana Retailer","General Applicant","345 Main Street Southbridge, MA 01550",""
"Adult-Use","Green Gold Group, Inc.","MR283723","Marijuana Retailer","General Applicant","910 Boston Post Rd. Ste.#100 Marlborough, MA 01752",""
"Adult-Use","Belle Fleur Holdings LLC","MC283095","Marijuana Cultivator","Expedited Review - DBE Status","138 Otis Stage Road Blandford, MA 01008",""
"Adult-Use","Canna Provisions Inc","MP281964","Marijuana Product Manufacturer","General Applicant","1884 North Main Street Sheffield, MA 01257",""
"Adult-Use","Greenfield Greenery LLC","MC283117","Marijuana Cultivator","Expedited Review - License Type","493 Leyden Road Greenfield, MA 01302",""
"Adult-Use","Good Feels Inc","MP281932","Marijuana Product Manufacturer","Expedited Review - DBE Status","23 Jayar Rd Suite 6 Medway, MA 02053",""
"Adult-Use","Kaycha MA, LLC","IL281349","Independent Testing Laboratory","Expedited Review - License Type","16 Tech Circle Suite 201 Natick, MA 01760",""
"Adult-Use","Ocean Breeze Cultivators LLC","MR283656","Marijuana Retailer","General Applicant","9 Whistle Stop Way Gloucester, MA 01930",""
"Adult-Use","Novel Beverage Co. MA, LLC","MP281984","Marijuana Product Manufacturer","General Applicant","10 Fanaras Drive Salisbury, MA 01952",""
"Adult-Use","JWTC Wick LLC","MR283689","Marijuana Retailer","Expedited Review - DBE Status","264 Newburyport Turnpike Rowley, MA 01969",""
"Adult-Use","Leaf Relief, Inc.","MR283784","Marijuana Retailer","General Applicant","165 Westgate Drive Brockton, MA 02301",""
"Adult-Use","Palazzi Incorporated","MB282029","Marijuana Microbusiness","Expedited Review - License Type","131 Texas Rd. Northampton, MA 01060",""
"Adult-Use","Ideal Craft Cannabis, Inc.","MC283286","Marijuana Cultivator","Expedited Review - Social Equity Participant","616 Douglas Street Uxbridge, MA 01569",""
"Adult-Use","Ideal Craft Cannabis, Inc.","MP282007","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","616 Douglas Street Uxbridge, MA 01569",""
"Adult-Use","Flower Power Growers, Inc.","MC283122","Marijuana Cultivator","General Applicant","180 Industrial Blvd. Town of Turner's Falls (not listed in City drop down menu) Montague, MA 01376",""
"Adult-Use","Flower Power Growers Inc.","MP281983","Marijuana Product Manufacturer","General Applicant","180 Industrial Blvd. Town of Turner's Falls (not listed in City drop down menu) Montague, MA 01376",""
"Adult-Use","LC Square, LLC.","MP282013","Marijuana Product Manufacturer","General Applicant","173 Howland Avenue Adams, MA 01220",""
"Adult-Use","Calyx Peak of MA, Inc.","MR283842","Marijuana Retailer","General Applicant","16 New Ocean Street Swampscott, MA 01907",""
"Adult-Use","Erba C3 Dorchester LLC","MR284013","Marijuana Retailer","General Applicant","43 Freeport Street Boston, MA 02122",""
"Adult-Use","Trifecta Farms Corp","MC283350","Marijuana Cultivator","General Applicant","142 New Holland Road Brimfield, MA 01010",""
"Adult-Use","Richards Flowers LLC","MB282225","Marijuana Microbusiness","Expedited Review - Social Equity Participant","296 Irving Street Framingham, MA 01702",""
"Adult-Use","617 Therapeutic Health Care, Inc.","MR283963","Marijuana Retailer","General Applicant","144 Bowdoin St. Boston, MA 02122",""
"Adult-Use","KCCS, LLC","MR283970","Marijuana Retailer","Expedited Review - DBE Status","26 Strong Ave Northampton, MA 01060",""
"Adult-Use","Massachusetts Citizens for Social Equity LLC","MR284009","Marijuana Retailer","General Applicant","561 Dudley Street Boston, MA 02125",""
"Adult-Use","Massachusetts Citizens for Social Equity LLC","MR284097","Marijuana Retailer","General Applicant","3995-3997 Washington Street Boston, MA 02131",""
"Adult-Use","Dreamfields Massachusetts One, Inc.","MP282054","Marijuana Product Manufacturer","General Applicant","18 Progress Avenue Tyngsborough, MA 01879",""
"Adult-Use","Kapnos, Inc.","MC283154","Marijuana Cultivator","General Applicant","2 - 4 Merchant Street Sharon, MA 02067",""
"Adult-Use","Green Valley Analytics LLC","IL281359","Independent Testing Laboratory","Expedited Review - License Type","306 Race St Holyoke, MA 01040",""
"Adult-Use","Sun Drops, LLC","MP282053","Marijuana Product Manufacturer","Expedited Review - DBE Status","39 Silver Street Sheffield, MA 01257",""
"Adult-Use","U4EA FARMS, LLC","MC283474","Marijuana Cultivator","General Applicant","75 Green St Suite 3 Clinton, MA 01510",""
"Adult-Use","U4EA FARMS, LLC","MP282065","Marijuana Product Manufacturer","General Applicant","75 Green St Suite 3 Clinton, MA 01510",""
"Adult-Use","Union Twist, Inc.","MR284038","Marijuana Retailer","General Applicant","259 Cambridge Street Boston, MA 02134",""
"Adult-Use","Rhythm of Life Cannabis LLC","MC283475","Marijuana Cultivator","Expedited Review - DBE Status","217 River Road Uxbridge, MA 01569",""
"Adult-Use","Rhythm of Life Cannabis LLC","MP282066","Marijuana Product Manufacturer","Expedited Review - DBE Status","217 River Road Uxbridge, MA 01569",""
"Adult-Use","The Green Lady Dispensary II, Inc.","MR284161","Marijuana Retailer","Expedited Review - DBE Status","740 Beacon Street Newton, MA 02459",""
"Adult-Use","SafeTiva Labs LLC","IL281354","Independent Testing Laboratory","Expedited Review - License Type","109 Apremont Way Westfield, MA 01085",""
"Adult-Use","Smokey Leaf LLC","MR284276","Marijuana Retailer","Expedited Review - DBE Status","45-49 Bank Row Greenfield, MA 01301",""
"Adult-Use","Rolling Releaf LLC","MD1265","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","69 Adams Street 2nd Floor Newton, MA 02458",""
"Adult-Use","Grassp Ventures LLC","MD1262","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","45 Congress St Building 4 Salem, MA 01970",""
"Adult-Use","KindRun Massachusetts, LLC","MD1270","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","7 Kane Industrial Drive Hudson, MA 01749",""
"Adult-Use","Blossom Flower LLC","MD1271","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","1 Cabot Street Holyoke, MA 01040",""
"Adult-Use","Gan Or LLC","MP282097","Marijuana Product Manufacturer","General Applicant","60 Damon Rd. Northampton, MA 01060",""
"Adult-Use","Rasta Rootz LLC","MR284000","Marijuana Retailer","Expedited Review - DBE Status","21 Broad St Boston, MA 02109",""
"Adult-Use","Lucky Green Ladies LLC","MD1282","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","394 Old Colony Rd Unit B Rear Norton, MA 02766",""
