License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
402R-01063,THE ORGANIC SEED LLC,CANNASSEUR,Retail Marijuana Store,41 North Precision Drive,Pueblo West,81007,12/30/2026,2026-04-02 00:00:00,Stores,Retail
402R-00911,THE SACRED BLEND LLC,THE SACRED BLEND,Retail Marijuana Store,59722 County Road T,Moffat,81143,5/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00718,THE SPACE STATION LLC,THE SPACE STATION,Retail Marijuana Store,206 South Main Street,Longmont,80501,1/18/2027,2026-04-02 00:00:00,Stores,Retail
402R-00616,THE UNDERGROUND STATION LLC,,Retail Marijuana Store,439 North Commercial Street,Trinidad,81082,1/9/2027,2026-04-02 00:00:00,Stores,Retail
402R-00955,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Retail Marijuana Store,135 South Broadway Unit C,Denver,80209,2/14/2027,2026-04-02 00:00:00,Stores,Retail
402R-00556,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Retail Marijuana Store,1714 B Santa Fe Drive,Pueblo,81006,3/14/2027,2026-04-02 00:00:00,Stores,Retail
402R-00751,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Retail Marijuana Store,83 North Magneto Drive,Pueblo,81007,5/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-00614,TKOVR LLC,SNAXLAND,Retail Marijuana Store,3944 North High Street,Denver,80205,12/21/2026,2026-04-02 00:00:00,Stores,Retail
402R-00548,TKOVR LLC,SNAXLAND,Retail Marijuana Store,82 South Federal Boulevard,Denver,80219,1/13/2027,2026-04-02 00:00:00,Stores,Retail
402R-00892,TKOVR LLC,SNAXLAND,Retail Marijuana Store,"6200 East Yale Avenue, Unit B,",Denver,80222,12/28/2026,2026-04-02 00:00:00,Stores,Retail
402R-01080,TOTAL GREEN LLC,TOTAL GREEN,Retail Marijuana Store,1105 South Chelton Road,Colorado Springs,80910,3/28/2027,2026-04-02 00:00:00,Stores,Retail
402R-00945,TOWER ROAD SOCIAL LLC,GREEN VALLEY DISPENSARY,Retail Marijuana Store,4650 Tower Road Unit 108,Denver,80249,11/22/2026,2026-04-02 00:00:00,Stores,Retail
402R-00652,TREES COLORADO LLC,TREES,Retail Marijuana Store,5005 South Federal Boulevard,Englewood,80110,3/7/2027,2026-04-02 00:00:00,Stores,Retail
402R-01121,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,Retail Marijuana Store,2117 West Colorado Avenue,Colorado Springs,80904,5/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-00271,TRINIDADS HIGHER CALLING U LLC,,Retail Marijuana Store,1000 Independence Road,Trinidad,81082,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-01097,TROY ENTERPRISES LLC,ELEVATIONS,Retail Marijuana Store,8270 Razorback Road,Colorado Springs,80920,4/10/2027,2026-04-02 00:00:00,Stores,Retail
402R-00876,TUMBLEWEED CRAIG LLC,,Retail Marijuana Store,316 West Victory Way,Craig,81625,9/14/2026,2026-04-02 00:00:00,Stores,Retail
402R-00865,TUMBLEWEED EAGLE LLC,,Retail Marijuana Store,12 Eagle Park Drive,Eagle,81631,5/8/2027,2026-04-02 00:00:00,Stores,Retail
402R-00124,TUMBLEWEED FRISCO LLC,TUMBLEWEED FRISCO,Retail Marijuana Store,"842 North Summit Boulevard, Unit 13",Frisco,80443,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00136,TUMBLEWEED STEAMBOAT LLC,RK ENTERPRISES,Retail Marijuana Store,2093 Curve Plaza Unit C-103,Steamboat Springs,80487,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00095,TZ FINANCIAL LLC,HIGH COUNTRY HEALING,Retail Marijuana Store,"191 Blue River Parkway, Suite 202,",Silverthorne,80498,1/1/2027,2026-04-02 00:00:00,Stores,Retail
