License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
403-00164,1022 S ROYER LLC,HIGHTOPS,Medical Marijuana Cultivation,1022 South Royer Street,Colorado Springs,80903,8/7/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01080,1395 SOUTH ACOMA LLC,STELLAR DECON; STELLAR CANNABIS,Medical Marijuana Cultivation,1395 South Acoma Street,Denver,80223,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01998,1CURE LLC,,Medical Marijuana Cultivation,7835 Maverick Lane,Ordway,81063,10/21/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00079,2727 CULTIVATION LLC,GENERATIONS,Medical Marijuana Cultivation,3228 North Nevada Avenue,Colorado Springs,80907,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00244,30 LLC,,Medical Marijuana Cultivation,695 North Bryant Street,Denver,80204,5/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00980,4611 EXPANSION LLC,,Medical Marijuana Cultivation,4655 East 46th Avenue,Denver,80216,4/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01390,4747 PEARL STREET LLC,GREAT ASCENT BOTANICALS,Medical Marijuana Cultivation,4747 Pearl Street Unit M1,Boulder,80301,10/27/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01401,7415 LLC,,Medical Marijuana Cultivation,7415 Rex Road,Pueblo,81005,10/31/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02014,ACES PLACE LLC,,Medical Marijuana Cultivation,14621 County Road 98,Nunn,80648,3/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01871,ADVANCED BTP LLC,KIND-MEDS,Medical Marijuana Cultivation,1001 South Royer Street,Colorado Springs,80903,1/17/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01548,AF INC,APOTHECARY FARMS,Medical Marijuana Cultivation,3415 Riddle Place,Colorado City,81019,10/16/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00682,ALL PRO FARMS ALAMEDA LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Cultivation,1500 US Highway 85 87,Walsenburg,81089,10/15/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02395,ALL PRO FARMS LLC,,Medical Marijuana Cultivation,1500 US Highway 85/87,Walsenburg,81089,8/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01828,ALLGREENS LLC,,Medical Marijuana Cultivation,1235 South Huron Street,Denver,80223,6/20/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01371,ALPACA BUD COMPANY LLC,POTCO,Medical Marijuana Cultivation,11101 East 51st Avenue,Denver,80239,9/12/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01997,ALPINE ESSENTIALS LLC,ALPINE ESSENTIALS,Medical Marijuana Cultivation,850 A & B Commercial Lane,Palmer Lake,80133,8/18/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01730,ARDO HOLDING LLC,,Medical Marijuana Cultivation,"5200 East Smith Road, Suite 110",Denver,80216,11/12/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00176,ASGR LLC,BRIARGATE WELLNESS CENTER,Medical Marijuana Cultivation,"890 Dublin Boulevard, Suites A, B, & C",Colorado Springs,80918,10/7/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01583,BEST BUDZ LLC,BEST BUDZ,Medical Marijuana Cultivation,3850 North Nevada Avenue,Colorado Springs,80907,12/22/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00573,BEYOND BROADWAY LLC,LIVWELL,Medical Marijuana Cultivation,5141 North National Western Drive,Denver,80216,7/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01617,BIG MOUNTAIN ORGANICS LLC,BIG MEDICINE CANNABISSARY,Medical Marijuana Cultivation,2901 North El Paso Street,Colorado Springs,80907,2/25/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01464,BIG MOUNTAIN ORGANICS LLC,FLORACO,Medical Marijuana Cultivation,2909 North El Paso Street,Colorado Springs,80907,4/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01549,BIOMEDS OF COLORADO LLC,BIOMEDS,Medical Marijuana Cultivation,2301 Rand Avenue,Colorado Springs,80905,11/12/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01788,BISHFLIP LLC,RIPPLE,Medical Marijuana Cultivation,3615 East Platte Avenue,Colorado Springs,80909,3/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01484,BK HOLDINGS LLC,THE HERBAL CENTER,Medical Marijuana Cultivation,12001 East 37th Avenue,Denver,80239,9/2/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01485,BK HOLDINGS LLC,THE HERBAL CENTER,Medical Marijuana Cultivation,12005 East 37th Avenue,Denver,80239,9/2/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01170,BLUE BRONCO LLC,COOKIES BROADWAY,Medical Marijuana Cultivation,2057 South Broadway,Denver,80210,12/27/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02292,BOULDER BUILT LLC,,Medical Marijuana Cultivation,5305 Vasquez Boulevard,Commerce City,80022,9/11/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01929,BUD FOX ENTERPRISES LLC,,Medical Marijuana Cultivation,"14896 East 38th Avenue, Unit C",Aurora,80011,10/25/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01584,BUILDING BETTER DAYS LLC,LEGACY GROWN,Medical Marijuana Cultivation,"4425 East 46th Avenue, Unit A",Denver,80216,4/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01729,BUKU LOUD ENTERPRISE LLC,,Medical Marijuana Cultivation,1507 Dustry Drive,Colorado Springs,80905,1/14/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01797,BUKU LOUD LLC,BUKU LOUD,Medical Marijuana Cultivation,3079 South Academy Boulevard,Colorado Springs,80916,4/11/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00341,CAMO ROSE LLC,,Medical Marijuana Cultivation,3052 Delta Drive,Colorado Springs,80910,4/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01930,CANNA CLUB LLC,BEST BUDS,Medical Marijuana Cultivation,"11900 East 33rd Avenue, Suite 2",Aurora,80010,12/3/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00157,CANNABICARE INC,THE CARE,Medical Marijuana Cultivation,1466 Woolsey Heights,Colorado Springs,80915,3/26/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01635,CANNABIS FOR HEALTH LLC,"PIG ""N"" WHISTLE",Medical Marijuana Cultivation,155 South Pecos Street,Denver,80223,6/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01467,CC AG LLC,BLACK AND WHITE CANNABIS,Medical Marijuana Cultivation,2211 East Boulder Street,Colorado Springs,80909,4/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01657,CG INDUSTRY LLC,CROSS GENETICS,Medical Marijuana Cultivation,"4902 East Smith Road, Unit C",Denver,80216,9/1/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01655,CHAZ EMMONS LLC,ARTSY CANNABIS CO,Medical Marijuana Cultivation,"1150 West 5th Avenue, Suite 110",Denver,80204,5/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01646,COLORADO BLUEGRASS LLC,JUXT.FLORA,Medical Marijuana Cultivation,3228 East Platte Avenue,Colorado Springs,80909,5/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00755,COLORADO CHRONIC LLC,,Medical Marijuana Cultivation,2926 Wood Avenue,Colorado Springs,80907,12/5/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00853,D & D CONSULTING INC,KAYA CANNABIS,Medical Marijuana Cultivation,1075 South Fox Street,Denver,80223,5/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02131,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,Medical Marijuana Cultivation,1755 Lincoln Avenue,Steamboat Springs,80487,11/14/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01453,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,Medical Marijuana Cultivation,"2800 Down Hill Plaza, Units 303 & 304",Steamboat Springs,80487,3/20/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01355,DENCO LLC,,Medical Marijuana Cultivation,4300 East 51st Avenue,Denver,80216,8/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00281,DENCO LLC,,Medical Marijuana Cultivation,5155 East 46th Avenue,Denver,80216,3/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02007,DOLCE VITA INVESTMENTS LLC,,Medical Marijuana Cultivation,715 Lone Tree Circle Unit A,Nunn,80648,1/14/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02401,DOOBIE FARMS LLC,,Medical Marijuana Cultivation,8356 Maverick Lane,Ordway,81063,11/25/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00786,DURANGO ORGANICS LLP,,Medical Marijuana Cultivation,12929 US Highway 550 South,Durango,81303,7/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01620,DUTCHESS OF DENVER LLC,DUTCHESS,Medical Marijuana Cultivation,1994 South Cherokee Street,Denver,80223,9/15/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01950,EAH ENTERPRISES LLC,VERA CULTIVATION,Medical Marijuana Cultivation,3105 North 75th Street,Boulder,80301,10/19/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01530,EGOZI VENTURES LLC,,Medical Marijuana Cultivation,2160 South Lipan Street,Denver,80223,9/22/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00564,EJB VENTURES LLC,HARMONY EXTRACTS,Medical Marijuana Cultivation,4500 North Jason Street,Denver,80211,6/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01773,EJB VENTURES LLC,HARMONY EXTRACTS,Medical Marijuana Cultivation,121 North Mariposa Street,Denver,80223,3/14/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01775,EXOTIC CROPZ LLC,EXOTIC CROPZ,Medical Marijuana Cultivation,1785 North Academy Boulevard #165,Colorado Springs,80909,3/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01048,EZ NATURAL ALTERNATIVES LLC,HERB'S PLACE,Medical Marijuana Cultivation,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,9/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00825,FLOWER POWER BOTANICALS LLC,,Medical Marijuana Cultivation,1308 - 1310 Duff Drive,Fort Collins,80524,7/25/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01217,FOX STREET WELLNESS LLC,FOX 5280,Medical Marijuana Cultivation,4773 North Fox Street,Denver,80216,9/20/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01977,FREMONTS FINEST LLC,FREMONT'S FINEST,Medical Marijuana Cultivation,251 Dawn Ridge Trail,Penrose,81240,7/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00131,FUTUREVISION LTD,MEDICINE MAN,Medical Marijuana Cultivation,4750 North Nome Street,Denver,80239,7/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01167,GALACTIC MEDS LLC,SPACE BUDS,Medical Marijuana Cultivation,3516 North Tejon Street,Colorado Springs,80907,4/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01308,GARCIA AND MAESTAS INC,LA CASA CANNABIS II,Medical Marijuana Cultivation,23320 County Road K-5,San Luis,81152,7/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01667,GARDEN OF THE BUDZ LLC,,Medical Marijuana Cultivation,3178 West Colorado Avenue,Colorado Springs,80904,6/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01764,GARDEN OF THE BUDZ LLC,GOB EXTRACTS,Medical Marijuana Cultivation,"3002 Gunnison Street, Unit B",Colorado Springs,80909,2/11/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00141,GAS AND GRASS LLC,ROLLUP,Medical Marijuana Cultivation,505 North Bryant Street,Denver,80204,11/7/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01178,GATSBY HOLDINGS LLC,BILLO,Medical Marijuana Cultivation,"1707 Copper Ridge Spur, Unit A",Steamboat Springs,80487,9/27/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02385,GHT FARMS LLC,"GHT, LLC",Medical Marijuana Cultivation,13800 East Moncrieff Place Unit A,Aurora,80011,6/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00204,GL INDUSTRIAL,GROW LIFE INC,Medical Marijuana Cultivation,115 East Garden of the Gods Road,Colorado Springs,80907,5/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01793,GM HOLDINGS LTD LLC,B.L.E,Medical Marijuana Cultivation,319 Bonfoy Avenue,Colorado Springs,80909,4/1/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01194,GOLDEN MEDS MERGERCO LLC,GOLDEN MEDS,Medical Marijuana Cultivation,5077 North Colorado Boulevard,Denver,80216,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01765,GP CANNABIS COMPANY LLC,GRANT PHARMS CANNABIS CO,Medical Marijuana Cultivation,320 Prairie Road,Colorado Springs,80909,1/29/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00344,GP CANNABIS COMPANY LLC,GRANT PHARMS CANNABIS CO,Medical Marijuana Cultivation,2607 Durango Drive,Colorado Springs,80910,4/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00017,GREEN FARMS LLC,,Medical Marijuana Cultivation,11975 East 40th Avenue,Denver,80239,1/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01317,GREEN FIELDS LLC,GREENFIELDS,Medical Marijuana Cultivation,"5200 East Smith Road, Suite 120",Denver,80216,8/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00727,GREEN MEADOWS DISPENSARY LLC,,Medical Marijuana Cultivation,23360 South Highway 550,Montrose,81403,8/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00276,GREEN PHARM LLC,GREEN PHARM; COLORADO MEDICAL WHOLESALE,Medical Marijuana Cultivation,"3111 North Stone Avenue, Suite 160",Colorado Springs,80907,5/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01926,GREEN SATIVA LLC,,Medical Marijuana Cultivation,63500 East Highway 96,Boone,81025,4/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01728,GREEN SATIVA LLC,,Medical Marijuana Cultivation,3990 North Grape Street,Denver,80207,12/3/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02398,GREEN STREET LLC,,Medical Marijuana Cultivation,19777 & 19779 Tamarack Lane,Ordway,81063,10/4/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01933,GREEN STREET LLC,,Medical Marijuana Cultivation,20319 Tamarack Lane,Ordway,81063,3/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01934,GREEN STREET LLC,,Medical Marijuana Cultivation,20321 Tamarack Lane,Ordway,81063,3/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01331,GREEN TREE BERTHOUD LLC,GREEN TREE,Medical Marijuana Cultivation,1090 North 2nd Street,Berthoud,80513,8/6/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01632,GROW DISPENSARY INC,,Medical Marijuana Cultivation,4245 West 13th Street,Pueblo,81003,3/19/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00316,HAYLOW FARMS LLC,,Medical Marijuana Cultivation,322 Juanita Street,Colorado Springs,80909,4/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01446,HEALING HOUSE LAKEWOOD LLC,ASCEND CANNABIS CO.,Medical Marijuana Cultivation,7420 Rex Road,Pueblo,81005,2/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02390,HEARTLAND INDUSTRIES LLC,,Medical Marijuana Cultivation,9000 South Interstate 25,Colorado City,81019,7/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01268,HG LTD,HIGHER GRADE,Medical Marijuana Cultivation,5010 North Paris Street,Denver,80239,2/6/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01650,HHOUNDS INC,HASH HOUNDS,Medical Marijuana Cultivation,223 East Moreno Avenue,Colorado Springs,80903,5/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01055,HIGH COLLECTIVE LLC,,Medical Marijuana Cultivation,4900 North Colorado Boulevard,Denver,80216,3/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01762,HIGH COUNTRY INFUSIONS LLC,HIGH COUNTRY INFUSIONS,Medical Marijuana Cultivation,1785 North Academy Boulevard Suite 180,Colorado Springs,80909,3/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01391,HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,Medical Marijuana Cultivation,3000 County Road 103,Florence,81226,9/30/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01609,HIGH RYSE LLC,HIGH RYSE,Medical Marijuana Cultivation,1001 North Tejon Street,Denver,80204,2/20/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01596,HOBBY FARMS LLC,A CUT ABOVE,Medical Marijuana Cultivation,817 Wooten Road,Colorado Springs,80915,3/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01120,HOG LEG FARM LLC,,Medical Marijuana Cultivation,803 South Jason Street,Denver,80223,9/4/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01570,I & S LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Cultivation,1235 North Umatilla Street,Denver,80204,12/2/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02370,INDICO COLORADO INC,,Medical Marijuana Cultivation,20637 Highway 96,Sugar City,81076,3/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00361,ISM2 INC,GREEN DOT LABS,Medical Marijuana Cultivation,12555 East 37th Avenue,Denver,80239,4/19/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01940,J&C CORP,JUICY CONCENTRATES,Medical Marijuana Cultivation,59 North Fabrication Drive,Pueblo West,81007,6/25/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00563,JET BLACK ENTERPRISES LLC,LEIFFA,Medical Marijuana Cultivation,5775 East 39th Avenue,Denver,80207,2/6/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01605,JKC MANUFACTURING LLC,STRATOS,Medical Marijuana Cultivation,73 North Research Drive,Pueblo West,81007,2/10/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01821,JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,Medical Marijuana Cultivation,1800 County Road 835C,Florence,81226,6/7/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01672,JOINT SUCCESS LLC,INDICO MED,Medical Marijuana Cultivation,2222 West Colorado Avenue,Colorado Springs,80904,8/22/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01486,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Medical Marijuana Cultivation,1075 South Jason Street,Denver,80223,5/29/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02288,K&P ENTERPRISE LLC,ATOMIC CONCENTRATES,Medical Marijuana Cultivation,3601 Freedom Road,Trinidad,81082,8/28/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01786,KANOPYA HOLDINGS LLC,KANOPYA SPRINGS,Medical Marijuana Cultivation,2545 - 2547 Platte Place,Colorado Springs,80909,3/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01041,KARMACEUTICALS LLC,KARMACEUTICALS,Medical Marijuana Cultivation,1355 South Inca Street,Denver,80223,8/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01040,KARMACEUTICALS LLC,KARMACEUTICALS,Medical Marijuana Cultivation,4 South Santa Fe Drive,Denver,80223,8/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01294,KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,Medical Marijuana Cultivation,6629 South College Avenue,Fort Collins,80525,6/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01358,KIND LOVE LLC,,Medical Marijuana Cultivation,4890 North Joliet Street,Denver,80239,8/21/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01272,KIND LOVE MJH LLC,KIND LOVE EXPRESS,Medical Marijuana Cultivation,3899 North Quentin Street,Denver,80239,6/26/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01817,LBW CONSULTING GROUP LLC,SEED & SMITH,Medical Marijuana Cultivation,5070 North Oakland Street,Denver,80239,5/18/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01384,LEVELS IV INC,LEVELS IV INC.,Medical Marijuana Cultivation,4980 North Monroe Street,Denver,80216,9/25/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00378,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Cultivation,3950 North Holly Street,Denver,80207,12/2/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00362,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Cultivation,5885 East Evans Avenue,Denver,80222,10/18/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01096,LONG GONE FARMS LLC,STEEL CITY MEDS MEDICAL DISPENSARY,Medical Marijuana Cultivation,152 East Industrial Boulevard,Pueblo West,81007,7/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00659,LVJS SERVICES LLC,FRONT RANGE CANNABIS,Medical Marijuana Cultivation,327 Karen Lane,Colorado Springs,80907,12/18/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01665,MAGIC CITY FARMS 2 LLC,MAGIC CITY CANNABIS,Medical Marijuana Cultivation,3819 North Quentin Street,Denver,80239,8/22/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01916,MAMMOTH FARMS LLC,GOLDWATER EXTRACTS,Medical Marijuana Cultivation,50562 County Road U,Saguache,81149,4/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00578,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,Medical Marijuana Cultivation,4800 Lamar Street,Wheat Ridge,80033,12/31/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01810,MEDPHARM HOLDINGS LLC,BUD & MARY'S CANNABIS,Medical Marijuana Cultivation,3855 North Quentin Street,Denver,80239,5/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00739,MILE HIGH MEDICAL CANNABIS LLC,LIT,Medical Marijuana Cultivation,4611 East 46th Avenue,Denver,80216,8/23/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00973,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,Medical Marijuana Cultivation,2805 North Prospect Street,Colorado Springs,80907,4/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01510,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,Medical Marijuana Cultivation,2903 North Prospect Street,Colorado Springs,80907,8/15/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02016,MORNING SWEETS LLC,MORNING SWEETS,Medical Marijuana Cultivation,365 15th Street,Penrose,81240,5/31/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00430,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Cultivation,6345 East Platte Avenue,Colorado Springs,80915,6/28/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02012,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Cultivation,1900 South Freeway,Pueblo,81004,2/10/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01368,NATTY REMS LLC,NATTY REMS,Medical Marijuana Cultivation,4675 North Kingston Street,Denver,80239,12/25/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01405,NATURAL ALTERNATIVES FOR HEALTH CORP,,Medical Marijuana Cultivation,"1420 Blue Spruce Drive, Unit G&H",Fort Collins,80524,11/6/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00085,NATURES HERBS & WELLNESS CENTER,NATURE'S HERBS & WELLNESS CENTER,Medical Marijuana Cultivation,540 27th Street,Garden City,80631,7/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00643,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURE'S KISS,Medical Marijuana Cultivation,4332 South Broadway,Englewood,80113,5/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01881,NEXT1 LABS LLC,NEXT1 LABS,Medical Marijuana Cultivation,1660 Siloam Road,Pueblo,81005,4/20/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02231,NOCO FARM LLC,SNAXLAND,Medical Marijuana Cultivation,1118 Ash Street,Nunn,80648,5/17/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01927,NOMADIC LLC,ROYAL JELLY; LAZERCAT,Medical Marijuana Cultivation,8620 Colorado 103,Idaho Springs,80452,8/27/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00178,NS BRECK LIMITED,NORTHERN STANDARD,Medical Marijuana Cultivation,"1795 Airport Road, Unit A2",Breckenridge,80424,1/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00462,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,Medical Marijuana Cultivation,4800 North Nome Street,Denver,80239,8/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01656,NUVUE PHARMA LLC,,Medical Marijuana Cultivation,4740 Dillon Drive,Pueblo,81008,5/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02402,ORDWAYS BEST LLC,,Medical Marijuana Cultivation,20390 Tamarack Lane,Ordway,81063,11/19/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00245,P & C EXPRESS LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Cultivation,6666 East 44th Avenue,Denver,80216,6/28/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00860,P & C EXPRESS LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Cultivation,305 Jody Court,Montrose,81401,4/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01411,PENROSE MANAGEMENT CO LTD,PENROSE CANNABIS,Medical Marijuana Cultivation,890 7th Street,Penrose,81240,11/8/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00644,PEORIA PARK MANAGEMENT LLC,FLATIRONS CANNABIS COMPANY,Medical Marijuana Cultivation,4765 North Oakland Street,Denver,80239,5/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01036,PERSONALIZED ORGANIC TREATMENTS LLC,,Medical Marijuana Cultivation,11122 East 47th Avenue,Denver,80239,1/29/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00160,PG GROW II LLC,12 PEAKS FARMS,Medical Marijuana Cultivation,7800 County Road 152,Salida,81201,1/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01200,PHOENIX FARMS OF BOULDER LLC,PHOENIX FARMS,Medical Marijuana Cultivation,10452 Isabelle Road,Lafayette,80026,8/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01580,PI 51ST AVENUE LLC,NATTY REMS,Medical Marijuana Cultivation,11100 East 51st Avenue,Denver,80239,1/14/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02272,PISTIL PALACE LLC,,Medical Marijuana Cultivation,615 Dunn Deal Drive,Moffat,81143,8/4/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01859,PND LLC,A CUT ABOVE,Medical Marijuana Cultivation,3375 Fillmore Ridge Heights,Colorado Springs,80907,11/10/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00529,PND LLC,A CUT ABOVE,Medical Marijuana Cultivation,3435 Fillmore Ridge Heights,Colorado Springs,80907,8/21/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01873,POTCO LLC,POTCO,Medical Marijuana Cultivation,1640 Siloam Road,Pueblo,81005,2/17/2027,2026-04-02 00:00:00,Cultivations,Medical
