"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-003145","Class C Grower – License","Tend.Harvest.Cultivate.","1213 Phillips Ave SW, Grand Raoids MI 49507","07/16/2026","Active",,,
"GR-C-003144","Class C Grower – License","Tend.Harvest.Cultivate.","1213 Phillips Ave SW, Grand Rapids MI 49507","07/16/2026","Active",,,
"GR-B-000053","Class B Grower – License","Deep Roots by Creek, LLC","4363 W. Shaffer RD, Coleman MI 48618","06/17/2026","Active",,,
"ERG-005129","Entity Prequalification","Berry Green Farms 2 LLC",,"06/16/2027","Active - Main Applicant",,,
"GR-C-003198","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003188","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003186","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003185","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003184","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003183","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003182","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003181","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003180","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003179","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003175","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003174","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003173","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003172","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003171","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003170","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003169","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003168","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003167","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003166","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003165","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003164","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003163","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"ERG-005125","Entity Prequalification","BFB FARMS-BATTLE CREEK LLC",,"06/04/2027","Active - Main Applicant",,,
"ERG-005073","Entity Prequalification","Cannaco Investments, LLC",,"06/03/2027","Active - Main Applicant",,,
"GR-C-003200","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003199","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003197","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003196","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003195","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003194","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003193","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003192","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003191","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003190","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003189","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003187","Class C Grower – License","R&H Investment Holdings LLC","56710 Shattuck RD, Vandalia MI 49095","05/27/2026","Active",,,
"GR-C-003156","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003157","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003158","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003159","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003160","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003161","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003162","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003155","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003154","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003153","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003152","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003151","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003150","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003149","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"GR-C-003148","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2026","Closed",,,
"ERG-005123","Entity Prequalification","Stockbridge Ventures, LLC",,"05/20/2027","Active - Main Applicant",,,
"ERG-005121","Entity Prequalification","4K Processing Inc",,"12/31/2099","Active - Main Applicant",,,
"GR-C-003178","Class C Grower – License","Old 27 Buds Etc, LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2026","Active",,,
"GR-C-003177","Class C Grower – License","Old 27 Buds Etc, LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2026","Active",,,
"GR-C-003176","Class C Grower – License","Old 27 Buds Etc, LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2026","Active",,,
"ERG-005119","Entity Prequalification","Red White & Bloom Michigan (2024), Inc.",,"05/14/2027","Active - Main Applicant",,,
"ERG-005122","Entity Prequalification","Rad Rootz, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-005116","Entity Prequalification","JAD3 TAWAS HOLDINGS, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-005118","Entity Prequalification","Wildfire Investments 2, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-003141","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003142","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003143","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003129","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003130","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003131","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003132","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003133","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003134","Class C Grower – License","Distro 10  Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003135","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003136","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003137","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
