"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-002016","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002015","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002014","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002011","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002010","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002009","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"GR-C-002008","Class C Grower – License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","02/04/2025","Closed",,,
"ERG-004975","Entity Prequalification","Mitten Distro X LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004984","Entity Prequalification","Maggie Valley LLC",,"05/15/2026","Active - Main Applicant",,,
"GR-C-002115","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002114","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002113","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002112","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002111","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002110","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002109","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002108","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002107","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002092","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002091","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002090","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002089","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002088","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002087","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002086","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002085","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002084","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002082","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002081","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002080","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002079","Class C Grower – License","Lume Cannabis Co","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002078","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002077","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002076","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002007","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002006","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002005","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002004","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"PC-000875","Provisioning Center - License","Stateline","989 E Main ST, Morenci MI 49256","12/22/2025","Closed",,,
"PR-000355","Processor - License","Allstar Processing, LLC","32620 Dequindre, Warren MI 48092","05/14/2026","Closed",,,
"GR-C-002162","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002161","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002160","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002159","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002158","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002157","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002156","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002155","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002153","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002154","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002136","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002135","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002134","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002133","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002129","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002128","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002125","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002118","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002117","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002116","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002106","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002105","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002104","Class C Grower – License","Lume Cannabis Co","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002102","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002101","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002100","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002099","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002098","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002097","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002096","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002095","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002094","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002359","Class C Grower – License","Wolverine Real Estate & Development, LLC","788 Hubbard RD, Battle Creek MI 49017","06/03/2025","Closed",,,
"GR-C-002151","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002152","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002150","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002163","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002149","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002164","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002165","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002166","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002167","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002168","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002148","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002147","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002169","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002170","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002171","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002146","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002172","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002145","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002173","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002144","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002143","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002142","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002141","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002140","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002139","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002138","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002137","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002174","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002175","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"GR-C-002186","Class C Grower – License","DISTRO 10 INC","7065 N Kings HWY, Luther MI 49656","08/18/2026","Active",,,
"GR-C-002362","Class C Grower – License","Wolverine Real Estate & Development, LLC","788 Hubbard RD, Battle Creek MI 49017","06/03/2025","Closed",,,
"GR-C-002361","Class C Grower – License","Wolverine Real Estate & Development, LLC","788 Hubbard RD, Battle Creek MI 49017","06/03/2025","Closed",,,
"GR-C-002360","Class C Grower – License","Wolverine Real Estate & Development, LLC","788 Hubbard RD, Battle Creek MI 49017","06/03/2025","Closed",,,
"GR-C-002298","Class C Grower – License","Oceana Gardens","2514 S 186th AVE, Hesperia MI 49421","05/24/2026","Active",,,
"GR-C-002297","Class C Grower – License","Oceana Gardens","2514 S 186th AVE, Hesperia MI 49421","05/24/2026","Active",,,
"GR-C-001995","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001994","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001993","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001992","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001991","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001990","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001989","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001988","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001987","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001986","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001985","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001974","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001973","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001972","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001971","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001970","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001996","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001997","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001983","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001984","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001981","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001982","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001980","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001978","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-001979","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"GR-C-002296","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002294","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002295","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002293","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002292","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002291","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002290","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002289","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002287","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002286","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002285","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2026","Active",,,
"GR-C-002272","Class C Grower – License","Dragonfly Vega","26980 County Road 215, Bangor MI 49013","04/25/2026","Active",,,
"GR-C-002273","Class C Grower – License","Dragonfly Vega","26980 County Road 215, Bangor MI 49013","04/25/2026","Active",,,
"GR-C-002271","Class C Grower – License","Dragonfly Vega","26980 County Road 215, Bangor MI 49013","04/25/2026","Active",,,
"GR-C-002020","Class C Grower – License","Wise Tree Farms LLC","8751 N Wise RD, Clare MI 48617","08/12/2026","Active",,,
"GR-C-001977","Class C Grower – License","Dragonfly Kitchen III Inc","18323 Quaker Street, Cassopolis MI 49031","05/09/2026","Active",,"Public Documents Available",
"ERG-004953","Entity Prequalification","SMFC Enterprises, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004956","Entity Prequalification","Solid Operations, LLC",,"05/06/2026","Active - Main Applicant",,,
"ERG-004928","Entity Prequalification","One Love Labs LLC",,"05/06/2026","Active - Main Applicant",,,
"GR-C-002093","Class C Grower – License","High Peak Farms, LLC","11801 Smugglers Pass RD, Frederic MI 49733","05/03/2026","Active",,,
"GR-C-002288","Class C Grower – License","75 Farms LLC","5700 Alabaster RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002300","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002301","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002131","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002302","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002130","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002127","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002126","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002303","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002124","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002123","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002304","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002122","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002121","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002305","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002120","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002119","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002306","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002132","Class C Grower – License","HUFF CANNABIS","55949 Huff RD, Marcellus MI 49067","05/03/2027","Active",,,
"GR-C-002307","Class C Grower – License","75 Farms LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2026","Active",,"Public Documents Available",
"GR-C-002308","Class C Grower – License","75 FARMS LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2025","Closed",,,
"GR-C-002309","Class C Grower – License","75 FARMS LLC","5700 ALABASTER RD, Turner MI 48765","05/03/2025","Closed",,,
"GR-C-002310","Class C Grower – License","High Peak Farms, LLC","11801 Smugglers Pass RD, Frederic MI 49733","05/03/2026","Active",,,
"GR-C-002034","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002033","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002032","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002031","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002030","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002029","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002028","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002027","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002026","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002025","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002023","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002022","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002021","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002000","Class C Grower – License","Medical Greens Inc.","1204 W US Hwy 2, Germfask MI 49836","05/02/2026","Active",,,
"ERG-004970","Entity Prequalification","BlackBRD, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004955","Entity Prequalification","3BarC INCORPORATED",,"05/01/2026","Active - Main Applicant",,,
"GR-C-002050","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public Documents Available",
"GR-C-002049","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public Documents Available",
"GR-C-002048","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public Documents Available",
"GR-C-002047","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002046","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002045","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002044","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002043","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002042","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002041","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002040","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002039","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002038","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002037","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002036","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002035","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002024","Class C Grower – License","Jefe Farms, LLC","1850 Parmenter RD, Corunna MI 48817","10/04/2024","Closed",,"Public documents available",
"GR-C-002270","Class C Grower – License","DDR GROUP, LLC","12416 Cloverdale ST, Detroit MI 48204","04/30/2026","Active",,,
"GR-C-002269","Class C Grower – License","DDR GROUP, LLC","12416 Cloverdale ST, Detroit MI 48204","04/30/2026","Active",,,
"GR-C-002268","Class C Grower – License","DDR GROUP, LLC","12416 Cloverdale ST, Detroit MI 48204","04/30/2026","Active",,,
"GR-C-002267","Class C Grower – License","DDR Group, LLC","12416 Cloverdale ST, Detroit MI 48204","04/30/2026","Active",,,
"GR-C-002266","Class C Grower – License","DDR Group, LLC","12416 Cloverdale ST, Detroit MI 48204","04/30/2026","Active",,,
