Business_Name,City,State,Street,ZIP,Phone,Website,License_Type
Pure Dakota Health,Fargo,ND,4302 13th Ave S #19,,701-807-1455,http://www.puredakotahealth.com/,Medical Marijuana Dispensary
Strive Life,Grand Forks,ND,1809 13th Ave. North,,701-335-6124,https://www.strivegrandforks.com/,Medical Marijuana Dispensary
Curaleaf,Devils Lake,ND,310 Highway 2 East,,701-864-2797,https://nd.curaleaf.com/,Medical Marijuana Dispensary
Curaleaf,Minot,ND,2301 16th St. SW,,701-248-5310,https://nd.curaleaf.com/,Medical Marijuana Dispensary
Curaleaf,Jamestown,ND,1513 Business Loop East,,701-404-1897,https://nd.curaleaf.com/,Medical Marijuana Dispensary
Pure Dakota Health,Bismarck,ND,1207 Memorial Highway,,701-595-0995,http://www.puredakotahealth.com/,Medical Marijuana Dispensary
Curaleaf,Dickinson,ND,318 24th Street East,,701-660-3174,https://nd.curaleaf.com/,Medical Marijuana Dispensary
Pure Dakota Health,Williston,ND,120 26th Street East Suite 500,,701-409-8800,http://www.puredakotahealth.com/,Medical Marijuana Dispensary
