Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0TBCAA3,00124807,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000ayqlNAAQ&facilityId=001t000000L0TBCAA3,4/10/2025,Establishment,00000043ESPE02331128,Closed (Complete)
001t000000L0TAuAAN,00056843,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007XFtSAAW&facilityId=001t000000L0TAuAAN,,Dispensary,00000119DCKO00583347,Closed (Complete)
001t000000L0TAgAAN,00116282,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000VbL0PAAV&facilityId=001t000000L0TAgAAN,3/10/2025,Establishment,00000047ESRJ75098505,Closed (Complete)
001t000000L0TAgAAN,00030433,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000002UKFLAA4&facilityId=001t000000L0TAgAAN,,Establishment,00000047ESRJ75098505,Closed (Complete)
001t000000L0T9yAAF,00081697,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AS7isAAD&facilityId=001t000000L0T9yAAF,4/2/2024,Dispensary,00000048DCKJ00945635,Closed (Complete)
001t000000L0T9yAAF,00137977,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000tRS8bAAG&facilityId=001t000000L0T9yAAF,8/14/2025,Establishment,00000072ESRF58078256,Closed (Complete)
001t000000L0TAtAAN,00133254,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000lOuMCAA0&facilityId=001t000000L0TAtAAN,7/2/2025,Establishment,00000048ESNO41782628,Closed (Complete)
001t000000L0TAtAAN,00133234,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000lMdUIAA0&facilityId=001t000000L0TAtAAN,7/2/2025,Establishment,00000048ESNO41782628,Closed (Complete)
001t000000L0T9tAAF,00064328,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008kcRDAAY&facilityId=001t000000L0T9tAAF,,Dispensary,00000049DCRR00713151,Closed (Complete)
001t000000L0T9tAAF,00064329,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008kcieAAA&facilityId=001t000000L0T9tAAF,,Establishment,00000053ESYR15319850,Closed (Complete)
